judge,metric,min_sd_arm,min_sd_iteration,min_sd,min_sd_mean,max_mean_arm,max_mean_iteration,max_mean,max_mean_sd,spearman_mean_vs_sd,spearman_p,n_states,min_sd_PTO_LA0,min_sd_PTO_LA5,min_sd_GRPO_LA0,min_sd_GRPO_LA5,min_sd_iter_PTO_LA0,min_sd_iter_PTO_LA5,min_sd_iter_GRPO_LA0,min_sd_iter_GRPO_LA5
claude-haiku-4-5,Q1,GRPO_LA0,10,0.6070925823206639,1.8666666666666665,GRPO_LA5,4,2.8145833333333328,0.811623346226777,-0.11163246753336883,0.5231859699216533,35,0.7976912958712611,0.8161285373479378,0.6070925823206639,0.811623346226777,10,2,10,4
claude-haiku-4-5,Q1Q2,GRPO_LA0,10,0.554079391792726,2.257169117647059,PTO_LA0,9,2.9210784313725493,0.7102074239816235,-0.3778711484593838,0.02521873782969555,35,0.6672954269898482,0.6551569631475433,0.554079391792726,0.6025959865409031,4,10,10,4
claude-haiku-4-5,Q2,GRPO_LA5,4,0.45810984159406276,2.752450980392157,PTO_LA0,9,3.1213235294117645,0.6351457515091881,-0.4344537815126051,0.009110955700095635,35,0.5113832012160816,0.5464794778442936,0.47410963176983356,0.45810984159406276,4,10,3,4
gpt-4o-mini,Q1,PTO_LA0,10,0.7760194200861711,4.139583333333333,PTO_LA5,10,4.2250000000000005,0.8188567126118426,-0.8924844351967638,5.970159040086019e-13,35,0.7760194200861711,0.8188567126118426,0.9214952570534098,0.8228320798188093,10,10,6,4
gpt-4o-mini,Q1Q2,PTO_LA0,10,0.6006687999168839,4.2597426470588236,PTO_LA5,10,4.306740196078432,0.6578619581465753,-0.873389355742297,7.64761206107316e-12,35,0.6006687999168839,0.6578619581465753,0.7264149859854647,0.6679826900135306,10,10,6,4
gpt-4o-mini,Q2,PTO_LA0,8,0.42748580277772863,4.341299019607844,PTO_LA5,10,4.388480392156862,0.5314703126757225,-0.9058823529411766,7.358781489904981e-14,35,0.42748580277772863,0.5314703126757225,0.5364764129597067,0.532891898295162,8,10,4,4
