arm,train_iter,n_groups,n_candidates,log_coverage,rho_dev_vs_realized_turns,n_groups_rt_var,rho_dev_vs_tail_chars,n_groups_both,delta_ee_minus_full,dz,ci_lo,ci_hi,p,z_ee_mean,z_full_mean,base_ee_rate,p_chosen_is_ee,chosen_minus_base,chosen_minus_base_ci_lo,chosen_minus_base_ci_hi,p_chosen_given_ee,p_chosen_given_full,rr_chosen_ee_vs_full,rr_ci_lo,rr_ci_hi,p_holm
PTO_LA5,1,890,7097,1.0,0.09022453106068634,454,0.16387573453147317,436,-0.04279604502351395,-0.24085612992992478,-0.05909979955284865,-0.025203200890447888,8.772291956942286e-08,-0.2301051699293825,0.07945395563787272,0.21022967451035648,0.1696629213483146,-0.04056675316204189,-0.058991207178625375,-0.021551567399209454,0.10120643431635389,0.13184656556645852,0.7676076648757287,0.6693651092077546,0.87151916942178,5.263375174165371e-07
PTO_LA5,2,837,6685,1.0,0.0652941253421627,415,0.12850919800120472,398,-0.032742036513097664,-0.2042053090042433,-0.048513770709288695,-0.016702731972185837,5.618199607777118e-05,-0.17597920231259806,0.05576716098583225,0.2035901271503366,0.16965352449223417,-0.033936602658102416,-0.052199628469393064,-0.016193746928401573,0.10433504775900074,0.13054094665664914,0.7992515025452085,0.6979414563449631,0.9033006096127932,0.00016854598823331352
PTO_LA5,3,816,6522,1.0,0.11815068485584043,436,0.1413445856740498,416,-0.042263554460245614,-0.25759582180960633,-0.057625560560762734,-0.02661769419306184,1.5747606466563896e-07,-0.22021702667126578,0.08357327737689205,0.2195645507513033,0.18259803921568626,-0.03696651153561703,-0.0575046007562324,-0.019112757847155003,0.10405027932960893,0.13104125736738703,0.7940268692469408,0.6863620766266757,0.8904339769773286,7.873803233281947e-07
PTO_LA5,4,613,4899,1.0,0.10589527393321861,358,0.12704588268606185,338,-0.030039654915220503,-0.22773100630322218,-0.04377312063878804,-0.015878092213216656,0.00010794457454377971,-0.16424022277587716,0.07902386145479968,0.26495203102674014,0.23491027732463296,-0.030041753702107182,-0.05359565470490901,-0.007193507747739013,0.11093990755007704,0.130241599555679,0.8518008679911032,0.7450465325166449,0.9634498015381106,0.00021588914908755942
PTO_LA5,5,468,3351,1.0,0.1234679702955099,311,0.13939981271096816,275,-0.03352966641201935,-0.21132572642683653,-0.05319199643493763,-0.01470217086834735,0.00012644515635717508,-0.13531428522600514,0.11816784560997819,0.3539242017308266,0.30982905982905984,-0.04409514190176678,-0.07509579424028245,-0.013752968600247604,0.12225969645868466,0.1491916859122402,0.8194806279661061,0.7073425305669571,0.9391410539580135,0.00021588914908755942
PTO_LA5,6,663,5289,1.0,0.10869479866424962,391,0.08262266253684215,368,-0.028358680428693238,-0.25214098574446364,-0.03939405218609184,-0.016805062378212176,1.9901465519612262e-08,-0.1974030847459486,0.11222654825589741,0.26413310644734356,0.2187028657616893,-0.045430240685654266,-0.06948951233101051,-0.022057358819815118,0.10379384395132427,0.13309352517985612,0.7798564491477877,0.6769241101476452,0.8898772414419319,1.3931025863728584e-07
PTO_LA5,7,807,6444,1.0,0.1696954979829515,441,0.13428778090575277,412,-0.03390497946751517,-0.26478542487553286,-0.04573163889342145,-0.021753664572625155,8.421509055304522e-10,-0.1995288380945015,0.12125868617161228,0.24906890130353818,0.20322180916976457,-0.04584709213377361,-0.06611389194435034,-0.02552709544437632,0.10218068535825545,0.13287869394502996,0.7689771950989084,0.6770061328964362,0.8669920497073447,6.737207244243618e-09
PTO_LA5,8,767,6117,1.0,0.10674940506643925,410,0.07771380826064685,384,-0.016713424953314626,-0.1450355736142342,-0.028152967436974746,-0.004867873190943007,5.634257566779877e-06,-0.22040918395245312,0.08500967818522184,0.21317639365702143,0.1577574967405476,-0.05541889691647384,-0.07447028809133373,-0.035898777387923964,0.09279141104294479,0.13421982131726573,0.6913391042564911,0.5926981868286844,0.7962396529102383,2.2537030267119507e-05
PTO_LA5,9,761,6077,1.0,0.17023892452469794,376,0.11131266704247342,350,-0.042392236894757906,-0.30713404731677874,-0.056248023209283717,-0.028024275710284135,3.548878551044339e-12,-0.3362772685722301,0.15354928254024017,0.20618726345236135,0.15768725361366623,-0.048500009838695124,-0.06669460455293996,-0.02948345524084635,0.09577015163607343,0.13287728026533996,0.7207413595825558,0.625538264066039,0.8267445567605703,3.1939906959399054e-11
PTO_LA5,10,926,7387,1.0,0.21044097927150265,449,0.12172732511608007,432,-0.037901104886399,-0.3809227848721867,-0.04800231481481484,-0.029090116486409367,5.1767592716907425e-23,-0.4105396299509489,0.1824549587440188,0.18248273994855826,0.12958963282937366,-0.0528931071191846,-0.06942741758603639,-0.036777008098690445,0.08902077151335312,0.13346580559695315,0.6669931007061284,0.5753646896590158,0.7627716651699018,5.176759271690742e-22
PTO_LA5,pooled,7548,59868,1.0,0.12427434910385096,4041,0.12266923193852974,3809,-0.03430807765479517,-0.24368359937919998,-0.0387733509129564,-0.029708411101379367,1.4415999365639852e-66,-0.2311571575438737,0.10593015458345058,0.2284358922963854,0.1856120826709062,-0.04282380962547919,-0.04901129322474719,-0.036194240340356724,0.10244223457151214,0.13307499134049186,0.7698083128887732,0.7381933302699234,0.8032594156252912,
GRPO_LA5,1,864,6912,0.5,0.137413642020595,380,0.1792741955189244,353,-0.09430333039731471,-0.3209636098914039,-0.12473884312931967,-0.06448437264424187,6.159866292592856e-16,-0.35422903498882835,0.14809721763975126,0.1685474537037037,0.1261574074074074,-0.04239004629629628,-0.05787037037037038,-0.026182725694444443,0.09356223175965665,0.13137289020358447,0.71218827274536,0.6150529947898766,0.8161363049857392,2.4639465170371425e-15
GRPO_LA5,2,1184,9472,0.7115384615384616,0.08571491709264888,528,0.14825712856777942,500,-0.05826459383753498,-0.2806355919148955,-0.07764275770308121,-0.04046362745098039,1.302987331633558e-10,-0.19613752857187863,0.08626865164172295,0.17345861486486486,0.14273648648648649,-0.03072212837837837,-0.045294024493243254,-0.015516786317567552,0.10286062081558126,0.12964618725252267,0.7933948772070795,0.7025926516878671,0.8924396148311988,2.605974663267116e-10
GRPO_LA5,3,1792,14336,1.0,0.1328961749493882,730,0.2050537226734196,693,-0.07283264821079943,-0.3262152347442368,-0.0880723774358228,-0.05653279796767191,4.710887563625182e-19,-0.22242651393266283,0.13653063857002273,0.15785435267857142,0.12220982142857142,-0.03564453125,-0.04673549107142856,-0.02406180245535714,0.0967741935483871,0.13029073138408018,0.7427557779463938,0.6701547651655276,0.8236566109809844,2.355443781812591e-18
