model_state,family,method,train_oracle,K,iteration,gen_base_model,metric,n,mean,sd,sem,ci95_lo,ci95_hi,ref_state,paired_delta_vs_ref,dz_vs_ref,wilcoxon_p_vs_ref
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.1822916666666665,1.2074217674704242,0.1232319681096641,1.9407570091717248,2.4238263241616083,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.684895833333333,1.0151774486231373,0.1036111144794654,2.4818180489535813,2.8879736177130857,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,MI_Mean,96,2.470486111111111,1.3864411911124306,0.1415030615250829,2.193140110521949,2.7478321117002737,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.3775122549019607,1.0796662018785737,0.1101929702971349,2.161534033119576,2.5934904766843454,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,Q1_Mean,96,2.3604166666666666,1.1500552999671174,0.1173770275376202,2.130357692692931,2.590475640640402,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,Q2_Mean,96,2.394607843137255,1.0440635024261131,0.1065592850002935,2.18575164453668,2.60346404173783,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,WAI_Bond_Mean,96,3.0390625,0.9969216599375456,0.1017478908489749,2.839636633936009,3.238488366063991,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,WAI_Goal_Mean,96,2.497395833333333,1.1890369785685846,0.1213555784497354,2.259538899571852,2.735252767094815,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,WAI_Task_Mean,96,2.5859375,1.1758692893031588,0.120011656791743,2.3507146526881835,2.8211603473118165,Base,0.0,,
Base,Base,none,,,0,meta-llama/Llama-3.2-1B,WAI_TotalMean,96,2.707465277777777,1.103555841748708,0.1126311964563298,2.4867081327233707,2.928222422832184,Base,0.0,,
L0_CSQ8_V1,PTO(DPO),DPO,CSQ8,0.0,1,meta-llama/Llama-3.2-1B,CSQ8_Mean,96,2.1744791666666665,1.2558388848990787,0.1281735194645232,1.923259068516201,2.425699264817132,Base,-0.0078125,-0.0097450793617465,0.8831909808579932
L0_CSQ8_V1,PTO(DPO),DPO,CSQ8,0.0,1,meta-llama/Llama-3.2-1B,MITI_GlobalMean,96,2.5859375,1.0838698485907847,0.1106220031931284,2.3691183737414683,2.802756626258532,Base,-0.0989583333333333,-0.0947232143524922,0.3056479631604043
L0_CSQ8_V1,PTO(DPO),DPO,CSQ8,0.0,1,meta-llama/Llama-3.2-1B,MI_Mean,96,2.482638888888889,1.4165849649643196,0.1445795975608737,2.199262877669576,2.766014900108201,Base,0.0121527777777777,0.013758017378649,0.9465022183366696
L0_CSQ8_V1,PTO(DPO),DPO,CSQ8,0.0,1,meta-llama/Llama-3.2-1B,Q1Q2_Mean,96,2.3303921568627453,1.1712971908141028,0.1195450189437456,2.096083919733004,2.564700393992487,Base,-0.0471200980392157,-0.0448092644169692,0.652892776306677
