method,iteration,k0,k5,base
PTO,1,3.263541666666667,3.180759803921569,3.008394607843138
PTO,2,3.4662990196078436,3.3080269607843142,3.008394607843138
PTO,3,3.814889705882353,3.674203431372549,3.008394607843138
PTO,4,4.0075980392156865,3.8879901960784315,3.008394607843138
PTO,5,4.014460784313726,4.016544117647059,3.008394607843138
PTO,6,4.15392156862745,3.8971200980392156,3.008394607843138
PTO,7,4.129044117647059,4.085416666666667,3.008394607843138
PTO,8,4.220649509803922,4.1438725490196076,3.008394607843138
