method,iteration,metric,n,k0,k5,delta,dz,p,p_holm
PTO,1,Q1Q2,96,2.0715686274509806,2.011519607843137,0.0600490196078431,0.08986338539518078,0.36788079911236693,1.0
PTO,1,Q1,96,1.9145833333333335,1.8625,0.05208333333333334,0.06368518176180539,0.5174433017089224,1.0
PTO,1,Q2,96,2.2285539215686274,2.1605392156862746,0.06801470588235287,0.10649533681578155,0.337286927661795,1.0
PTO,2,Q1Q2,96,2.199203431372549,2.063112745098039,0.13609068627450985,0.19711704544167283,0.049575240983465566,0.1487257229503967
PTO,2,Q1,96,2.0791666666666666,1.90625,0.17291666666666664,0.2017163655985152,0.05020957434725652,0.1487257229503967
PTO,2,Q2,96,2.319240196078431,2.2199754901960786,0.09926470588235292,0.15578795944166784,0.11606910465749756,0.1487257229503967
PTO,3,Q1Q2,96,2.480208333333333,2.3499387254901962,0.13026960784313726,0.19949795484356975,0.04606552736904941,0.09213105473809882
PTO,3,Q1,96,2.3666666666666667,2.225,0.14166666666666666,0.1631898661896,0.11952958415163693,0.11952958415163693
PTO,3,Q2,96,2.59375,2.474877450980392,0.11887254901960782,0.20925529672990592,0.02485533002722921,0.07456599008168763
PTO,4,Q1Q2,96,2.6804534313725497,2.557352941176471,0.12310049019607842,0.21444441177914883,0.18561743218905968,0.37123486437811937
PTO,4,Q1,96,2.59375,2.4749999999999996,0.11875000000000001,0.1599446373496907,0.19155655315984166,0.37123486437811937
PTO,4,Q2,96,2.767156862745098,2.6397058823529416,0.12745098039215685,0.23321937831946996,0.11637235711873566,0.34911707135620695
PTO,5,Q1Q2,96,2.751960784313725,2.578799019607843,0.17316176470588238,0.33011578852891504,0.0023766618913554035,0.004753323782710807
PTO,5,Q1,96,2.6479166666666667,2.5375,0.11041666666666665,0.16624162036703674,0.09295331118462719,0.09295331118462719
PTO,5,Q2,96,2.8560049019607843,2.6200980392156867,0.23590686274509806,0.4268743260920769,0.0002500532849186608,0.0007501598547559824
PTO,6,Q1Q2,96,2.8495710784313726,2.5067401960784315,0.3428308823529412,0.5106517551078329,9.019916271104345e-06,1.803983254220869e-05
PTO,6,Q1,96,2.7604166666666665,2.4479166666666665,0.31249999999999994,0.3788886068520945,0.0005669936628485905,0.0005669936628485905
PTO,6,Q2,96,2.9387254901960786,2.565563725490196,0.3731617647058824,0.5779463336054895,6.847478079282385e-07,2.0542434237847153e-06
PTO,7,Q1Q2,96,2.813235294117647,2.7352941176470593,0.07794117647058826,0.12182517154368538,0.1464425164659941,0.2928850329319882
PTO,7,Q1,96,2.6583333333333337,2.7083333333333335,-0.04999999999999997,-0.06054026310473154,0.8088208019919712,0.8088208019919712
PTO,7,Q2,96,2.968137254901961,2.7622549019607843,0.20588235294117654,0.3279261741294404,0.0007645634641602723,0.002293690392480817
PTO,8,Q1Q2,96,2.8954656862745103,2.7096813725490194,0.18578431372549023,0.3366397359170162,0.0004708952500568808,0.0009417905001137616
PTO,8,Q1,96,2.7229166666666664,2.658333333333333,0.06458333333333331,0.10018344896773136,0.23604287119200873,0.23604287119200873
PTO,8,Q2,96,3.0680147058823533,2.761029411764705,0.30698529411764713,0.5435823468554247,6.553876360980672e-07,1.9661629082942017e-06
