oracle,iteration,metric,n,k0,k5,delta,dz,p,p_holm
Q1Q2,1,Q1Q2,96,2.4991421568627445,2.5147671568627454,-0.015625000000000017,-0.01586286401096721,0.6898715760166207,1.0
Q1Q2,1,Q1,96,2.50625,2.5166666666666666,-0.010416666666666704,-0.010188142006960938,0.7643471069621276,1.0
Q1Q2,1,Q2,96,2.49203431372549,2.5128676470588234,-0.020833333333333325,-0.02072605204836236,0.6797655218184744,1.0
Q1Q2,1,WAI-SR,96,2.7395833333333335,2.7821180555555554,-0.04253472222222221,-0.05633720854117125,0.7361973307476436,1.0
Q1Q2,1,CSQ-8,96,2.2565104166666665,2.2708333333333335,-0.014322916666666666,-0.020782808782534384,0.9185002813451145,1.0
Q1Q2,1,MI-SAT,96,2.6059027777777772,2.5746527777777777,0.03124999999999997,0.035050032223087675,0.8400498512380079,1.0
Q1Q2,1,MITI,96,2.7135416666666665,2.8802083333333335,-0.16666666666666666,-0.15085495163601945,0.08866342554026438,0.6206439787818506
Q1Q2,2,Q1Q2,96,2.696997549019608,2.5843137254901962,0.11268382352941181,0.11104650365197478,0.733091862283991,1.0
Q1Q2,2,Q1,96,2.6770833333333335,2.558333333333333,0.11875000000000001,0.1167004050328786,0.6235663996346681,1.0
Q1Q2,2,Q2,96,2.7169117647058822,2.6102941176470584,0.1066176470588235,0.0987707736244867,0.5370965824665076,1.0
Q1Q2,2,WAI-SR,96,2.7899305555555554,2.875,-0.08506944444444446,-0.12153903493536825,0.25429087442222176,1.0
Q1Q2,2,CSQ-8,96,2.31640625,2.2981770833333335,0.018229166666666668,0.026644301327308346,0.946015839749964,1.0
Q1Q2,2,MI-SAT,96,2.6406249999999996,2.6475694444444446,-0.006944444444444466,-0.00851669798068033,0.7544937126358264,1.0
Q1Q2,2,MITI,96,2.9166666666666665,2.8828125,0.033854166666666664,0.03856657315434244,0.9004211860262212,1.0
Q1Q2,3,Q1Q2,96,2.544117647058823,2.7450980392156867,-0.20098039215686278,-0.19231833520597735,0.03764835929473235,0.18824179647366174
Q1Q2,3,Q1,96,2.5520833333333335,2.7083333333333335,-0.15625000000000003,-0.14202923856159372,0.10279519309226866,0.308385579276806
Q1Q2,3,Q2,96,2.5361519607843133,2.7818627450980387,-0.24571078431372548,-0.23638513480421444,0.03026976052369017,0.18161856314214103
Q1Q2,3,WAI-SR,96,2.7708333333333335,2.905381944444444,-0.13454861111111108,-0.2154999033642895,0.013360285901757188,0.09352200131230032
Q1Q2,3,CSQ-8,96,2.2356770833333335,2.2981770833333335,-0.0625,-0.09109551433717797,0.25541687666384405,0.5108337533276881
Q1Q2,3,MI-SAT,96,2.5902777777777777,2.6371527777777777,-0.046874999999999965,-0.0540171244370257,0.5525158258861045,0.5525158258861045
Q1Q2,3,MITI,96,2.8411458333333335,3.046875,-0.20572916666666666,-0.1939639092283902,0.04358539219697419,0.18824179647366174
Q1Q2,4,Q1Q2,96,2.7023897058823523,2.766727941176471,-0.06433823529411763,-0.06341098044365953,0.6836708600086073,1.0
Q1Q2,4,Q1,96,2.6749999999999994,2.7791666666666663,-0.10416666666666662,-0.1001766691848669,0.41844138041266643,1.0
Q1Q2,4,Q2,96,2.729779411764705,2.754289215686274,-0.024509803921568662,-0.023448966957436642,0.880825733656579,1.0
Q1Q2,4,WAI-SR,96,2.7473958333333335,2.9010416666666665,-0.1536458333333333,-0.26028966180681345,0.017502472150921315,0.1225173050564492
Q1Q2,4,CSQ-8,96,2.296875,2.3736979166666665,-0.07682291666666667,-0.13439159519086488,0.18572268603897546,1.0
Q1Q2,4,MI-SAT,96,2.6197916666666665,2.7361111111111107,-0.11631944444444443,-0.15379929727458927,0.21784482104132996,1.0
Q1Q2,4,MITI,96,2.9635416666666665,3.0651041666666665,-0.1015625,-0.11248435977103725,0.3058454529932202,1.0
Q1Q2,5,Q1Q2,96,2.7704656862745103,2.9001225490196076,-0.12965686274509808,-0.1371665664130896,0.29482657688030567,1.0
Q1Q2,5,Q1,96,2.733333333333333,2.84375,-0.11041666666666668,-0.11143623141424235,0.3020459402349368,1.0
Q1Q2,5,Q2,96,2.8075980392156867,2.9564950980392157,-0.1488970588235294,-0.15674713019918335,0.2744831705865006,1.0
Q1Q2,5,WAI-SR,96,2.8237847222222228,2.9644097222222228,-0.14062499999999997,-0.17584729150069828,0.2524255081581289,1.0
Q1Q2,5,CSQ-8,96,2.3606770833333335,2.4466145833333335,-0.0859375,-0.12541802938511706,0.2748518660078867,1.0
Q1Q2,5,MI-SAT,96,2.71875,2.8229166666666665,-0.10416666666666667,-0.11569272289841802,0.4517779673459884,1.0
Q1Q2,5,MITI,96,3.0546875,3.1770833333333335,-0.12239583333333333,-0.13234833783380387,0.2702651513919947,1.0
WAI,1,Q1Q2,96,2.507107843137255,2.475980392156863,0.031127450980392154,0.031420116231981064,0.46236489760244004,1.0
WAI,1,Q1,96,2.50625,2.466666666666667,0.03958333333333331,0.03888366788086369,0.584447969540232,1.0
WAI,1,Q2,96,2.5079656862745097,2.4852941176470584,0.02267156862745098,0.02227442907008785,0.5226554247475486,1.0
WAI,1,WAI-SR,96,2.7664930555555554,2.7118055555555554,0.05468749999999998,0.08812972313663198,0.23222178436529983,1.0
WAI,1,CSQ-8,96,2.2578125,2.2252604166666665,0.032552083333333336,0.05219896305614412,0.5739785887225952,1.0
WAI,1,MI-SAT,96,2.5572916666666665,2.5434027777777772,0.013888888888888902,0.0155358227531691,0.4781880636583222,1.0
WAI,1,MITI,96,2.7682291666666665,2.7760416666666665,-0.0078125,-0.007060729553576321,0.99378301130189,1.0
WAI,2,Q1Q2,96,2.614399509803922,2.540563725490196,0.07383578431372549,0.07009048782126401,0.47851367510194964,1.0
WAI,2,Q1,96,2.5958333333333328,2.5437499999999997,0.052083333333333336,0.048345093050162026,0.5650326147872751,1.0
WAI,2,Q2,96,2.6329656862745097,2.537377450980392,0.09558823529411763,0.08906423337680891,0.36632069957660207,1.0
WAI,2,WAI-SR,96,2.737847222222222,2.768229166666666,-0.030381944444444437,-0.043759893157319346,0.6975359929318632,1.0
WAI,2,CSQ-8,96,2.2604166666666665,2.27734375,-0.016927083333333332,-0.02761010466090223,0.7968092317511255,1.0
WAI,2,MI-SAT,96,2.5729166666666665,2.592013888888889,-0.01909722222222222,-0.02338030737842375,0.7651998183377006,1.0
WAI,2,MITI,96,2.8802083333333335,2.8333333333333335,0.046875,0.04814903652207735,0.6330445487051706,1.0
WAI,3,Q1Q2,96,2.342647058823529,2.349387254901961,-0.006740196078431358,-0.0066396657078088344,0.6776002012381306,1.0
WAI,3,Q1,96,2.3249999999999997,2.3041666666666667,0.020833333333333297,0.020367185274575234,0.8587946095120238,1.0
WAI,3,Q2,96,2.3602941176470584,2.3946078431372544,-0.034313725490196095,-0.03223334122536727,0.5384980026183911,1.0
WAI,3,WAI-SR,96,2.650173611111111,2.612847222222222,0.03732638888888884,0.05000713482795565,0.8685097872395429,1.0
WAI,3,CSQ-8,96,2.1705729166666665,2.1028645833333335,0.06770833333333333,0.10156980894577354,0.3793953900023199,1.0
WAI,3,MI-SAT,96,2.4618055555555554,2.371527777777778,0.09027777777777778,0.10610435516990063,0.4601573491793013,1.0
WAI,3,MITI,96,2.5703125,2.5729166666666665,-0.0026041666666666665,-0.0025583015072731313,0.7599204425063613,1.0
WAI,4,Q1Q2,96,2.5275122549019606,2.5316176470588236,-0.004105392156862724,-0.003956844572243485,0.9609014021221173,1.0
WAI,4,Q1,96,2.49375,2.50625,-0.012500000000000016,-0.012097602416379744,0.9524697597022457,1.0
WAI,4,Q2,96,2.5612745098039214,2.5569852941176467,0.004289215686274568,0.003962659677841943,0.8349605477513435,1.0
WAI,4,WAI-SR,96,2.7473958333333335,2.702256944444444,0.04513888888888887,0.06293241882658115,0.7857167802108267,1.0
WAI,4,CSQ-8,96,2.234375,2.1861979166666665,0.048177083333333336,0.08025958614663013,0.4421141678124144,1.0
WAI,4,MI-SAT,96,2.5086805555555554,2.451388888888889,0.05729166666666664,0.07127580828223189,0.5288109298693366,1.0
WAI,4,MITI,96,2.859375,2.8020833333333335,0.057291666666666664,0.05537644030117009,0.6930531004897625,1.0
WAI,5,Q1Q2,96,2.5964460784313723,2.5894607843137254,0.006985294117647006,0.006905646641540632,0.813675258417403,1.0
WAI,5,Q1,96,2.61875,2.59375,0.024999999999999967,0.023909894078699104,0.9483267218140553,1.0
WAI,5,Q2,96,2.574142156862745,2.585171568627451,-0.011029411764705918,-0.010680770164272832,0.7490359694862023,1.0
WAI,5,WAI-SR,96,2.788194444444444,2.7934027777777772,-0.005208333333333352,-0.00798672917890424,0.7476619986960679,1.0
WAI,5,CSQ-8,96,2.3111979166666665,2.2630208333333335,0.048177083333333336,0.07429319677100904,0.628563749107693,1.0
WAI,5,MI-SAT,96,2.6666666666666665,2.6145833333333335,0.052083333333333315,0.0637800542002325,0.7876338860663556,1.0
WAI,5,MITI,96,2.9322916666666665,2.8307291666666665,0.1015625,0.10240281287774945,0.5059613162391692,1.0
CSQ8,1,Q1Q2,96,2.3303921568627453,2.363541666666667,-0.0331495098039216,-0.025479232851084464,0.9069375623319229,1.0
CSQ8,1,Q1,96,2.3354166666666667,2.3208333333333333,0.0145833333333333,0.010997219876233748,0.9011378149195388,1.0
CSQ8,1,Q2,96,2.3253676470588234,2.40625,-0.08088235294117643,-0.06060367631205781,0.654956280049986,1.0
CSQ8,1,WAI-SR,96,2.657986111111111,2.65625,0.001736111111111105,0.0024682646711802377,0.8526121226931038,1.0
CSQ8,1,CSQ-8,96,2.1744791666666665,2.1966145833333335,-0.022135416666666668,-0.03128368541467591,0.7053386715771766,1.0
CSQ8,1,MI-SAT,96,2.482638888888889,2.482638888888889,0.0,0.0,0.7437593165414609,1.0
CSQ8,1,MITI,96,2.5859375,2.6614583333333335,-0.07552083333333333,-0.06440069194367794,0.5008309175927921,1.0
CSQ8,2,Q1Q2,96,2.447487745098039,2.538296568627451,-0.09080882352941176,-0.09014174396505177,0.4142589141959446,1.0
CSQ8,2,Q1,96,2.4562500000000003,2.5104166666666665,-0.05416666666666669,-0.05323390591550797,0.7434201874831906,1.0
CSQ8,2,Q2,96,2.4387254901960786,2.566176470588235,-0.12745098039215685,-0.12266058649910848,0.26480314566827934,1.0
CSQ8,2,WAI-SR,96,2.6501736111111107,2.6788194444444446,-0.028645833333333332,-0.043356788846487214,0.6405435681700449,1.0
CSQ8,2,CSQ-8,96,2.1822916666666665,2.21484375,-0.032552083333333336,-0.050358393723683975,0.44115217952412633,1.0
CSQ8,2,MI-SAT,96,2.487847222222222,2.5277777777777777,-0.039930555555555546,-0.05647876300147237,0.4641644068103652,1.0
CSQ8,2,MITI,96,2.6354166666666665,2.7916666666666665,-0.15625,-0.15411035007422444,0.11425886014502358,0.799812021015165
CSQ8,3,Q1Q2,96,2.498835784313725,2.5643382352941173,-0.06550245098039216,-0.061205578700996785,0.49967139716920506,1.0
CSQ8,3,Q1,96,2.475,2.5729166666666665,-0.0979166666666667,-0.08935409490240726,0.4162089671779745,1.0
CSQ8,3,Q2,96,2.5226715686274512,2.5557598039215685,-0.03308823529411765,-0.03014239693958762,0.6022794224395827,1.0
CSQ8,3,WAI-SR,96,2.762152777777778,2.7578125,0.004340277777777762,0.005288909994780566,0.9142501283912452,1.0
CSQ8,3,CSQ-8,96,2.25390625,2.2317708333333335,0.022135416666666668,0.029133091790022506,0.8604651871532087,1.0
CSQ8,3,MI-SAT,96,2.5590277777777777,2.5711805555555554,-0.01215277777777779,-0.01363090757363917,0.6398946098091816,1.0
CSQ8,3,MITI,96,2.7994791666666665,2.8229166666666665,-0.0234375,-0.01960593452440593,0.7408149382975366,1.0
CSQ8,4,Q1Q2,96,2.5734068627450974,2.502389705882353,0.07101715686274504,0.0670044350170471,0.26866270878766507,1.0
CSQ8,4,Q1,96,2.5395833333333333,2.4729166666666664,0.06666666666666662,0.06202992523080551,0.49844951144406024,1.0
CSQ8,4,Q2,96,2.607230392156863,2.531862745098039,0.07536764705882355,0.06806993856741828,0.324334181622818,1.0
CSQ8,4,WAI-SR,96,2.734375,2.7430555555555554,-0.00868055555555553,-0.012941303158812286,0.7185044463118565,1.0
CSQ8,4,CSQ-8,96,2.1888020833333335,2.25,-0.061197916666666664,-0.10141463710118895,0.31922493081249603,1.0
CSQ8,4,MI-SAT,96,2.517361111111111,2.545138888888889,-0.02777777777777778,-0.03583186551416962,0.8291966994187593,1.0
CSQ8,4,MITI,96,2.8567708333333335,2.7421875,0.11458333333333333,0.11451429398947796,0.29358381177621795,1.0
CSQ8,5,Q1Q2,96,2.6287377450980394,2.5986519607843133,0.03008578431372549,0.028010440442412663,0.8093442270351843,1.0
CSQ8,5,Q1,96,2.6,2.5729166666666665,0.027083333333333303,0.02495566167716699,0.9570780114063445,1.0
CSQ8,5,Q2,96,2.6574754901960786,2.624387254901961,0.033088235294117654,0.02955419390840736,0.8945100604433089,1.0
CSQ8,5,WAI-SR,96,2.776909722222222,2.7786458333333335,-0.0017361111111111143,-0.002403778312259263,0.8211948336217552,1.0
CSQ8,5,CSQ-8,96,2.2552083333333335,2.23828125,0.016927083333333332,0.020549882061602152,0.6683676568408017,1.0
CSQ8,5,MI-SAT,96,2.538194444444444,2.6180555555555554,-0.07986111111111115,-0.08202470683697485,0.6761197040437698,1.0
CSQ8,5,MITI,96,2.859375,2.8463541666666665,0.013020833333333334,0.011320944470760517,0.9942447026905448,1.0
