arm,method,K,train_iter,eval_iter,n_groups,n_groups_all,sd_mean,sd_median,margin_mean,margin_median,margin_over_sd,mean_group_ratio,winner_z,null_margin_over_sd,null_winner_z,frac_sd_zero,frac_groups_floored,frac_groups_nan_cand,yield_tau0.10,reward_median,reward_iqr,reward_q25,reward_q75
GRPO_LA0,GRPO,0,1,0,1728,1728,0.12727397254587774,0.10433660336906021,0.3792109204793028,0.3058823529411767,2.9794852230499114,2.9848039331839464,1.394420218773059,2.9629871886741537,1.4445469707714316,0.03935185185185185,0.01273148148148148,0.0,0.8501157407407407,3.0176470588235293,1.6235294117647063,2.2941176470588234,3.9176470588235297
GRPO_LA0,GRPO,0,2,1,752,752,0.11537920537697806,0.10398629135096285,0.34704317897371717,0.30588235294117627,3.00784857929836,2.9899971266300263,1.382039187481164,2.935692990592447,1.5382538208054546,0.030585106382978722,0.0013297872340425532,0.0,0.8404255319148937,2.9117647058823533,1.5352941176470587,2.2941176470588234,3.829411764705882
GRPO_LA0,GRPO,0,3,2,1888,1888,0.10271093344994305,0.08989551229199177,0.3072376620139581,0.2647058823529411,2.9912848778041012,2.9684142957446933,1.419374368538028,2.9121365437066804,1.5113133307128601,0.015889830508474576,0.001059322033898305,0.0,0.8522245762711864,2.988235294117647,1.723529411764705,2.423529411764706,4.147058823529411
GRPO_LA0,GRPO,0,4,3,1600,1600,0.08330446945577366,0.07944919092358502,0.24829779411764705,0.23235294117647087,2.980605911540777,2.9648115104901223,1.4354279145373607,2.947413533649666,1.454158458378853,0.038125,0.0,0.0,0.805,3.670588235294118,1.170588235294118,3.076470588235294,4.247058823529412
GRPO_LA0,GRPO,0,5,4,1888,1888,0.08313406362877274,0.07511345119668075,0.24646996510468594,0.21764705882352953,2.9647289491979385,2.9416044053486203,1.4519844371554875,3.0063508633988723,1.487918657972838,0.0524364406779661,0.0,0.0,0.8172669491525424,3.7,0.947058823529412,3.2705882352941176,4.2176470588235295
GRPO_LA0,GRPO,0,6,5,1376,1376,0.079531870229489,0.06852802858039356,0.2342510259917921,0.20000000000000018,2.945373034933812,2.9076345560684564,1.4386539049635325,3.1243464668741963,1.4555699872637242,0.0559593023255814,0.0,0.0,0.8059593023255814,3.8470588235294114,0.8058823529411767,3.4,4.205882352941177
GRPO_LA0,GRPO,0,7,6,2048,2048,0.09054515605651348,0.0754509915132954,0.2676499310661765,0.21764705882352953,2.9559828788535483,2.937887591583559,1.4237379029409505,3.081228193127008,1.3848647086415797,0.04052734375,0.0,0.0,0.80810546875,3.947058823529412,0.7058823529411771,3.611764705882353,4.31764705882353
GRPO_LA0,GRPO,0,8,7,1248,1248,0.08190113955274976,0.07155435622284297,0.24004053544494722,0.20588235294117663,2.9308570888729237,2.919376453464187,1.4686639685164766,3.1688667857152923,1.481744257590025,0.036057692307692304,0.0,0.0,0.8397435897435898,4.0,0.6176470588235299,3.7,4.31764705882353
GRPO_LA0,GRPO,0,9,8,1280,1280,0.08305907752180926,0.07284038279994373,0.24775275735294117,0.21764705882352953,2.982849855127363,2.966165215452941,1.4849788318093662,3.1394250283446463,1.584012421476669,0.0625,0.0,0.0,0.796875,3.829411764705882,0.6088235294117639,3.570588235294118,4.179411764705882
GRPO_LA0,GRPO,0,10,9,2528,2528,0.111126140703745,0.09624210748209502,0.33870765078183174,0.2941176470588238,3.0479565711258174,3.019159192761527,1.5446129567701092,3.0952952861852485,1.5186043167651142,0.01740506329113924,0.0,0.0,0.8829113924050633,3.905882352941177,0.7058823529411771,3.6411764705882352,4.347058823529412
GRPO_LA5,GRPO,5,1,0,864,864,0.17816757216535278,0.14924716120839499,0.5458946078431371,0.4529411764705884,3.0639391961658786,3.052867902422712,1.5551609621550517,2.9466023734695987,1.5866886371833488,0.020833333333333332,0.013888888888888888,0.0,0.9363425925925926,2.5823529411764703,1.5941176470588236,2.0,3.5941176470588236
GRPO_LA5,GRPO,5,2,1,1184,1184,0.17276910175892607,0.154360983505214,0.5228984499205087,0.46470588235294097,3.0265738757508664,3.026827810336547,1.5133120762821874,2.9918026465306413,1.423251435344511,0.02533783783783784,0.0059121621621621625,0.0,0.9349662162162162,3.208823529411765,1.7764705882352936,2.3529411764705883,4.129411764705882
GRPO_LA5,GRPO,5,3,2,1792,1792,0.16921678393953307,0.14793671497141597,0.5159073004201681,0.43529411764705883,3.048795092362229,3.0389917485000595,1.569601569345933,3.002397972550869,1.525872651585903,0.01171875,0.0027901785714285715,0.0,0.9436383928571429,3.3470588235294114,1.4235294117647057,2.6470588235294117,4.070588235294117
GRPO_LA5,GRPO,5,4,3,1696,1696,0.14122083417443562,0.13100104326044487,0.4251422031076582,0.38823529411764657,3.010477919869271,2.993769097868356,1.5238253797837935,2.962553551649446,1.397931388414104,0.007075471698113208,0.0,0.0,0.9321933962264151,3.6529411764705886,1.370588235294118,3.0058823529411764,4.376470588235295
GRPO_LA5,GRPO,5,5,4,1408,1408,0.12370668490970034,0.11037007145137429,0.3720671791443852,0.32941176470588296,3.0076562104624784,2.988419713288938,1.448408082480228,2.9825906941984983,1.3478593371698309,0.008522727272727272,0.0,0.0,0.9119318181818182,4.076470588235294,0.9823529411764707,3.4941176470588236,4.476470588235294
PTO_LA0,PTO,0,1,0,949,949,0.09188491041553828,0.07789607463092449,0.27350771710159294,0.22941176470588243,2.9766336590489963,2.935825217894591,1.4176005913213534,3.0604975520284303,1.5119048301910438,0.03477344573234984,0.0,0.0136986301369863,0.8240252897787145,3.3117647058823527,1.1235294117647054,2.7176470588235295,3.841176470588235
PTO_LA0,PTO,0,2,1,772,772,0.08571919091139747,0.07458614666895635,0.25020572996037793,0.21764705882352953,2.9188998087837743,2.919777575883783,1.4754479497404116,3.0480112164961226,1.5255362576247462,0.029792746113989636,0.0,0.009067357512953367,0.8005181347150259,3.435294117647059,1.0838235294117644,2.7161764705882354,3.8
PTO_LA0,PTO,0,3,2,787,787,0.08266260955437874,0.07194994776022398,0.24403916585694,0.20588235294117663,2.95223157328951,2.9204304553486593,1.4861989751552667,3.035864070305907,1.5471250685207465,0.0241423125794155,0.0,0.01905972045743329,0.7878017789072427,3.4705882352941178,1.0823529411764703,3.0176470588235293,4.1
PTO_LA0,PTO,0,4,3,647,647,0.07768184512491634,0.0711945468052833,0.23178470770070003,0.20588235294117618,2.983769339257821,2.9539382318088765,1.4723568348869855,3.1325631819821043,1.594262364637841,0.023183925811437404,0.0,0.00927357032457496,0.8284389489953632,3.670588235294118,0.7352941176470589,3.3117647058823527,4.047058823529412
PTO_LA0,PTO,0,5,4,600,600,0.08033563244099362,0.07257830312647887,0.2366862745098039,0.20588235294117618,2.9462178527523206,2.9044523248765572,1.4391858926994001,2.9945738524766075,1.5460934298035898,0.03166666666666667,0.0,0.011666666666666667,0.805,3.7,0.9779411764705883,3.2985294117647057,4.276470588235294
PTO_LA0,PTO,0,6,5,591,591,0.07796897409104747,0.06900413081261263,0.22531103812083209,0.20000000000000018,2.8897525040887087,2.879501494729921,1.419835784990381,3.0980847649499648,1.5641425394510653,0.0338409475465313,0.0,0.01353637901861252,0.8037225042301185,3.735294117647059,0.8058823529411763,3.4411764705882355,4.247058823529412
PTO_LA0,PTO,0,7,6,521,521,0.07460250114469197,0.06808918815239762,0.22016484136840916,0.20000000000000018,2.951172386853334,2.9186448322750134,1.444463376046959,3.0378585882797386,1.5084664445522844,0.044145873320537425,0.0,0.019193857965451054,0.7677543186180422,3.8588235294117643,0.8764705882352946,3.4705882352941178,4.347058823529412
PTO_LA0,PTO,0,8,7,517,517,0.0668937154763976,0.062391774810577484,0.195312322220958,0.17647058823529438,2.919740977609039,2.874982709465577,1.3897527449439904,3.006411754280271,1.5694547564556764,0.048355899419729204,0.0,0.0367504835589942,0.7330754352030948,3.8588235294117643,0.8941176470588235,3.6411764705882352,4.535294117647059
