arm,train_iter,n_groups,n_candidates,log_coverage,n_unscored_dropped,n_not_simulated_dropped,mean_score,realized_turns_mean,rt0_share,rt1_share,rt2_share,rt3_share,rt4_share,rt5_share,ended_early_rate,ended_early_ci_lo,ended_early_ci_hi,patient_closed_share,therapist_stalled_share,after_therapist_share,no_tail_share,full_share,full_closed_at_turn5_share,wrapup_cue_rate_patient_closed,wrapup_cue_rate_full_open,tail_chars_mean,tail_patient_turns_mean,tail_therapist_turns_mean,tail_loop_rate,tail_leak_rate,cand_floored_rate,cand_empty_rate,cand_leak_rate
PTO_LA5,1,890,7097,1.0,0,23,3.291063332476855,4.3701564041144145,0.006622516556291391,0.09454699168662815,0.005636184303226715,0.09821051148372552,0.0052134704804847115,0.7897703254896435,0.21022967451035648,0.2010708750176131,0.22051923347893476,0.19120755248696633,0.0015499506833873467,0.010849654783711428,0.006622516556291391,0.7897703254896435,0.11173735381146964,0.887988209285188,0.11471321695760599,1552.5465689728055,2.6763421163872056,1.6938142877272087,0.08834718895307876,0.0,0.0,0.0,0.0
PTO_LA5,2,837,6685,1.0,0,11,3.473938140701307,4.391922213911743,0.002393418100224383,0.0975317875841436,0.004038893044128646,0.09424083769633508,0.005385190725504862,0.7964098728496635,0.2035901271503366,0.19341436050860134,0.21391174270755423,0.19012715033657443,0.0016454749439042632,0.009424083769633508,0.002393418100224383,0.7964098728496635,0.11967090501121914,0.8638867033831629,0.10941644562334217,1767.856095736724,2.6900523560209426,1.7018698578908003,0.0599850411368736,0.0,0.0,0.0,0.0
PTO_LA5,3,816,6522,1.0,0,6,3.5596551039919184,4.362312174179699,0.003526525605642441,0.09536951855259122,0.0036798528058877645,0.11054891137687826,0.006439742410303588,0.7804354492486967,0.2195645507513033,0.2086783195338853,0.2301441275682306,0.2053051211284882,0.0006133088009812941,0.010119595216191352,0.003526525605642441,0.7804354492486967,0.13799448022079117,0.8797610156833457,0.14057279236276848,1952.0651640601043,2.6743330266789327,1.6879791475007666,0.05075130328120209,0.0,0.0,0.0,0.0
PTO_LA5,4,613,4899,1.0,0,5,3.789291932327126,4.197387221882017,0.003674219228413962,0.13125127577056542,0.0026536027760767503,0.1239028373137375,0.00347009593794652,0.7350479689732599,0.26495203102674014,0.2527046335986936,0.2761788120024495,0.2535211267605634,0.0016329863237395388,0.00612369871402327,0.003674219228413962,0.7350479689732599,0.16370687895488875,0.9154589371980676,0.18685244730260808,2103.5084711165546,2.5937946519697896,1.603592569912227,0.011635027556644213,0.0,0.0,0.0,0.0
PTO_LA5,5,468,3351,1.0,389,4,3.8665753857496443,3.9045061175768425,0.028349746344374812,0.1495076096687556,0.02118770516263802,0.13727245598328858,0.017606684571769622,0.6460757982691734,0.3539242017308266,0.3383989853774993,0.3709340495374515,0.2864816472694718,0.0002984183825723665,0.03879438973440764,0.028349746344374812,0.6460757982691734,0.1584601611459266,0.9104166666666667,0.17870257037943696,2145.0778871978514,2.41868099074903,1.4858251268278126,0.007460459564309161,0.0,0.0,0.0,0.0
PTO_LA5,6,663,5289,1.0,0,15,3.9274999165860334,4.217432406882208,0.0011344299489506524,0.12592172433352242,0.0022688598979013048,0.13159387407827566,0.003214218188693515,0.7358668935526564,0.26413310644734356,0.2524059368500662,0.2764227642276423,0.25505766685573833,0.0024579315560597464,0.00548307808659482,0.0011344299489506524,0.7358668935526564,0.17148799394970693,0.8902891030392883,0.2723618090452261,2653.2548685951974,2.6054074494233315,1.612024957458877,0.003592361505010399,0.0,0.0,0.0,0.0
PTO_LA5,7,807,6444,1.0,0,12,3.9968862964180087,4.253103662321539,0.004189944134078212,0.1180943513345748,0.0045003103662321535,0.11778398510242086,0.0045003103662321535,0.7509310986964618,0.24906890130353818,0.23867163252638113,0.25978041589075107,0.2344816883923029,0.0013966480446927375,0.009000620732464307,0.004189944134078212,0.7509310986964618,0.14059590316573556,0.9066843150231635,0.2936689549961861,2922.3381440099315,2.6199565487274983,1.633147113594041,0.004345127250155183,0.0,0.0,0.0,0.0
PTO_LA5,8,767,6117,1.0,0,19,4.173726067180183,4.366683014549616,0.004250449566781102,0.09694294588850744,0.006048716691188491,0.10021252247833906,0.005721759032205329,0.7868236063429785,0.21317639365702143,0.20287314042831453,0.22380660454471146,0.19437632826548962,0.002779140101356874,0.011770475723393821,0.004250449566781102,0.7868236063429785,0.1338891613536047,0.9184188393608074,0.3895843765648473,3366.691678927579,2.6753310446297203,1.6913519699198953,0.0022887036128821318,0.0,0.0,0.0,0.0
PTO_LA5,9,761,6077,1.0,0,11,4.104804034498446,4.389007734079316,0.003126542701991114,0.09511272009215073,0.004278426855356262,0.098403817673194,0.005265756129669245,0.7938127365476386,0.20618726345236135,0.19631397070923154,0.216558334704624,0.1918709889748231,0.001645548790521639,0.009544182985025506,0.003126542701991114,0.7938127365476386,0.12835280566068785,0.9108061749571184,0.35311572700296734,3391.3867039657725,2.6881685041961494,1.700839229883166,0.0003291097581043278,0.0,0.0,0.0,0.0
PTO_LA5,10,926,7387,1.0,0,21,4.320434945333217,4.460809530255855,0.0025720860971977797,0.08393123054013808,0.003384323812102342,0.0878570461621768,0.004738053336943279,0.8175172600514418,0.18248273994855826,0.1738188709895763,0.19141735481250846,0.16745634222282388,0.004331934479490998,0.008122377149045621,0.0025720860971977797,0.8175172600514418,0.11614999323135237,0.8940986257073565,0.3916232387569967,3703.0854203330173,2.7250575335048057,1.735751996751049,0.0002707459049681874,0.0,0.0,0.0,0.0
PTO_LA5,pooled,7548,59868,1.0,389,127,3.8457234346935807,4.318183336674016,0.004944210596645954,0.10534843321975011,0.005077837910068818,0.10740295316362665,0.005662457406293847,0.7715641077036146,0.2284358922963854,0.22524512260306007,0.23177741030266588,0.21081379033874523,0.0019375960446315226,0.010740295316362664,0.004944210596645954,0.7715641077036146,0.135230841183938,0.8971555344267491,0.24758504829903402,2580.4097013429546,2.6512494153805037,1.6669339212935124,0.02515534175185408,0.0,0.0,0.0,0.0
GRPO_LA5,1,864,6912,0.5,0,0,2.8176070601851855,4.422743055555555,0.037037037037037035,0.06336805555555555,0.010271990740740741,0.04991319444444445,0.007957175925925927,0.8314525462962963,0.1685474537037037,0.1595775462962963,0.17708333333333334,0.11255787037037036,0.0007233796296296296,0.018229166666666668,0.037037037037037035,0.8314525462962963,0.05381944444444445,0.8071979434447301,0.07720930232558139,1508.4113136574074,2.683738425925926,1.7390046296296295,0.2790798611111111,0.0,0.001880787037037037,0.001880787037037037,0.0
