arm,method,K,iteration,n_steps,median_step_s,n_imputed,gen_h,build_h,train_h,gpu_h,cum_gpu_h,train_source,gen_h_meta,gen_h_floor,cum_gpu_h_floor
GRPO_LA0,GRPO,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
GRPO_LA0,GRPO,0,1,108,74.60500001907349,0,0.06095166669951545,0.0,2.5537855555613835,2.614737222260899,2.614737222260899,completions,0.2129089311758677,0.2129089311758677,2.766694486737251
GRPO_LA0,GRPO,0,2,94,80.0200001001358,1,0.24072416669792598,0.0,2.3917411111129656,2.6324652778108915,5.24720250007179,completions,0.023356062240070766,0.24072416669792598,5.399159764548143
GRPO_LA0,GRPO,0,3,118,79.1859998703003,0,0.07668527781963348,0.0,2.8883705555730397,2.965055833392673,8.212258333464463,completions,0.18126077221499548,0.18126077221499548,8.468791092336177
GRPO_LA0,GRPO,0,4,100,79.40900015830994,0,0.10863638891114129,0.0,2.425186666647593,2.5338230555587344,10.746081389023198,completions,0.250548840297593,0.250548840297593,11.144526599281363
GRPO_LA0,GRPO,0,5,118,78.61800003051758,0,0.10746444443861644,0.0,2.859520555535952,2.9669849999745685,13.713066388997767,completions,0.216343131992552,0.216343131992552,14.220390286809868
GRPO_LA0,GRPO,0,6,116,78.04899990558624,1,0.21621527777777777,0.0,2.730810833275318,2.9470261110530958,16.66009250005086,completions,0.02347112973531087,0.21621527777777777,17.167416397862965
GRPO_LA0,GRPO,0,7,128,79.32299995422363,0,0.11249777774016062,0.0,2.9737530555327734,3.086250833272934,19.746343333323797,completions,0.23138956434196897,0.23138956434196897,20.372559017737707
GRPO_LA0,GRPO,0,8,108,77.67750000953674,1,0.10054388893975152,0.0,2.4281398611598544,2.528683750099606,22.275027083423403,completions,0.01743038018544515,0.10054388893975152,22.901242767837314
GRPO_LA0,GRPO,0,9,80,79.39300012588501,0,0.09563638885815938,0.0,1.8525069444709354,1.9481433333290947,24.223170416752495,completions,0.21359857598940532,0.21359857598940532,24.967348288297654
