arm,train_iter,n_candidates,n_tail_th_turns,cand_len_chars,tail_th_turn_len_chars,cand_q_per_turn,tail_th_q_per_turn,cand_affirm_rate,tail_th_affirm_rate,cand_effusive_rate,tail_th_effusive_rate,tail_loop_rate,tail_patient_turn_len_chars
PTO_LA5,1,7097,12021,306.6753557841341,299.51191409311804,0.6068761448499366,0.5684276532371845,0.05100746794420177,0.0444427026179652,0.003663519797097365,0.003605580812039505,0.08834718895307876,370.2215962935664
PTO_LA5,2,6685,11377,364.46133133881824,355.89712481302973,0.5901271503365744,0.5457038391224863,0.04771877337322363,0.03963769320259265,0.0034405385190725505,0.003656307129798903,0.0599850411368736,412.2642495690374
PTO_LA5,3,6522,11009,445.4911070223858,438.41781521184276,0.5895430849432689,0.5526629232601667,0.05228457528365532,0.04483580057852646,0.006746396810794235,0.007656967840735069,0.05075130328120209,434.5092879256966
PTO_LA5,4,4899,7856,561.7958767095325,555.5057810287872,0.5313329250867525,0.5142756016989146,0.06695243927332109,0.04672015101462954,0.016738109818330273,0.01651722510618216,0.011635027556644213,447.3406783662548
PTO_LA5,5,3351,4979,630.7042673828707,624.8441016333938,0.4897045658012534,0.4823956442831216,0.07221724858251269,0.061524500907441014,0.010743061772605193,0.019419237749546278,0.007460459564309161,483.2074028377545
PTO_LA5,6,5289,8526,754.8916619398752,740.1854017760451,0.43732274532047644,0.4260342213558588,0.07638494989601059,0.06703487112843838,0.01947438079031953,0.0301061295213342,0.003592361505010399,540.460885341074
PTO_LA5,7,6444,10524,837.5588144009931,832.0936173974541,0.4514276846679081,0.4828500707213578,0.07091868404717566,0.05922913719943423,0.03026070763500931,0.039603960396039604,0.004345127250155183,577.1680980868329
PTO_LA5,8,6117,10346,939.4106588196828,941.6971626045835,0.2380251757397417,0.20943979628955983,0.08010462645087461,0.06929792651873408,0.05264018309628903,0.06829756275009094,0.0022887036128821318,643.0416743049191
PTO_LA5,9,6077,10336,962.129340134935,963.495802919708,0.28467994076024355,0.2666970802919708,0.08244199440513411,0.0729014598540146,0.06006253085403982,0.08868613138686131,0.0003291097581043278,631.1997428991185
PTO_LA5,10,7387,12822,1006.2868552863138,1006.6224066390041,0.27440097468525787,0.23807053941908712,0.08650331663733586,0.07491108476585655,0.07756870177338568,0.10262299940723177,0.0002707459049681874,697.5147044212619
PTO_LA5,pooled,59868,99796,681.5101055655776,677.3328358208955,0.4472506180263246,0.42398385431333896,0.06820004008819402,0.05788979630151131,0.029548339680630722,0.0399981225945743,0.02515534175185408,527.2812033391085
GRPO_LA5,1,6912,12020,324.19675925925924,277.8601640398842,0.6665219907407407,0.7110807333547765,0.041666666666666664,0.038356384689610806,0.00318287037037037,0.000643293663557414,0.2790798611111111,362.84938005390836
GRPO_LA5,2,9472,16419,331.0805532094595,285.3795577511174,0.7759712837837838,0.8546812514702423,0.048880912162162164,0.044577746412608796,0.0027449324324324326,0.0014702422959303693,0.17757601351351351,396.40539477823216
GRPO_LA5,3,14336,25084,353.23388671875,300.1404642166344,0.6752232142857143,0.7240232108317215,0.03913225446428571,0.029671179883945843,0.003138950892857143,0.0026305609284332687,0.07247488839285714,397.7560668703937
GRPO_LA5,4,13568,22748,461.0137087264151,431.7226880187809,0.6244103773584906,0.6269807998658506,0.03309257075471698,0.020751236689863336,0.006412146226415095,0.009977362287247422,0.00685436320754717,433.97639693049285
GRPO_LA5,5,11264,17871,584.8796164772727,578.7398727465536,0.5949041193181818,0.6118239660657476,0.04580965909090909,0.03112407211028632,0.012340198863636364,0.015800636267232236,0.0015980113636363637,501.1795633549813
GRPO_LA5,pooled,55552,94142,419.1374207949309,380.39305538549445,0.6626224078341014,0.699838782090527,0.0409886232718894,0.0314681033427207,0.005742367511520737,0.00649973470470593,0.08570348502304148,422.21729698313146
