contrast,method,iteration,metric,mean_K0,mean_K5,K5_minus_K0,mean_delta_K0_minus_K5,dz,ci_lo,ci_hi,p,p_holm,n
PTO iter 10,PTO,10,conv_len,20.385416666666668,28.697916666666668,8.3125,-8.3125,-0.5478515111375081,-11.219270833333333,-5.259895833333337,1.5268385509654295e-06,1.5268385509654297e-05,96
PTO iter 10,PTO,10,n_th_turns,10.229166666666666,14.385416666666666,4.15625,-4.15625,-0.5481021795763215,-5.635416666666667,-2.655989583333335,1.4559734365811884e-06,1.4559734365811883e-05,96
PTO iter 10,PTO,10,mean_turn_len,686.2022435826647,810.8754777003027,124.67323411763793,-124.67323411763793,-0.5548273135600681,-169.25252618890278,-79.7007270710224,1.7776238015906107e-09,1.7776238015906107e-08,96
GRPO iter 5,GRPO,5,conv_len,30.677083333333332,22.572916666666668,-8.104166666666666,8.104166666666666,0.5305148231163583,5.052083333333333,11.01067708333333,5.480370037431543e-06,3.288222022458926e-05,96
GRPO iter 5,GRPO,5,n_th_turns,15.34375,11.3125,-4.03125,4.03125,0.527660313003281,2.51015625,5.4794270833333325,5.607091461038284e-06,3.3642548766229704e-05,96
GRPO iter 5,GRPO,5,mean_turn_len,461.78669439796073,668.342794652524,206.55610025456335,-206.55610025456335,-0.8147258877229051,-257.75383643456047,-155.11710664972495,3.347494605272622e-10,2.0084967631635732e-09,96
