judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs
gpt-4o-mini,8.94,Q1Q2,Q1Q2,4,1,PTOExp3_LA5_I4,GRPOExp3_LA5_I1,8.94,7.8,3.8879901960784315,3.2715073529411764,96,0.616482843137255,0.6364647628550572,0.4317003676470587,0.8145021446078429,1.4953740437501404e-08,1.4953740437501404e-08,6
gpt-4o-mini,10.0,Q1Q2,Q1Q2,5,1,PTOExp3_LA5_I5,GRPOExp3_LA5_I1,10.0,7.8,4.016544117647059,3.2715073529411764,96,0.7450367647058824,0.8098852266580024,0.5641467524509803,0.9407766544117646,3.215452001828481e-11,9.646356005485444e-11,6
gpt-4o-mini,12.7,Q1Q2,Q1Q2,5,1,PTOExp3_LA5_I5,GRPOExp3_LA5_I1,10.0,7.8,4.016544117647059,3.2715073529411764,96,0.7450367647058824,0.8098852266580024,0.5641467524509803,0.9407766544117646,3.215452001828481e-11,9.646356005485444e-11,6
gpt-4o-mini,14.6,Q1Q2,Q1Q2,7,2,PTOExp3_LA5_I7,GRPOExp3_LA5_I2,14.6,13.27,4.085416666666666,3.435110294117647,96,0.6503063725490196,0.7779970873621896,0.4848452818627451,0.8197977941176471,2.204896362039185e-11,8.81958544815674e-11,6
gpt-4o-mini,16.17,Q1Q2,Q1Q2,8,2,PTOExp3_LA5_I8,GRPOExp3_LA5_I2,16.17,13.27,4.1438725490196076,3.435110294117647,96,0.7087622549019609,0.8868349873478317,0.5536060049019608,0.8802757352941176,1.6504222600361146e-13,8.252111300180573e-13,6
gpt-4o-mini,18.03,Q1Q2,Q1Q2,9,2,PTOExp3_LA5_I9,GRPOExp3_LA5_I2,18.03,13.27,4.19718137254902,3.435110294117647,96,0.7620710784313727,0.918694620762134,0.6027205882352943,0.9414276960784315,2.5561302094055945e-14,1.5336781256433566e-13,6
gpt-4o-mini,19.68,Q1Q2,Q1Q2,10,3,PTOExp3_LA5_I10,GRPOExp3_LA5_I3,19.68,18.31,4.306740196078431,3.861764705882353,96,0.44497549019607846,0.6728725658342178,0.31346047794117654,0.5829718137254902,2.6716662621197483e-10,5.343332524239497e-10,6
gpt-4o-mini,8.94,MICI,MICI,1,1,PTOExp3_LA5_I1,GRPOExp3_LA5_I1,2.17,7.8,0.22243718478553035,0.22799043862969862,96,-0.005553253844168257,-0.016382610207693906,-0.07139347263841932,0.059780644224032946,0.9857666569649918,1.0,2
gpt-4o-mini,10.0,MICI,MICI,1,1,PTOExp3_LA5_I1,GRPOExp3_LA5_I1,2.17,7.8,0.22243718478553035,0.22799043862969862,96,-0.005553253844168257,-0.016382610207693906,-0.07139347263841932,0.059780644224032946,0.9857666569649918,1.0,2
gpt-4o-mini,12.7,MICI,MICI,1,1,PTOExp3_LA5_I1,GRPOExp3_LA5_I1,2.17,7.8,0.22243718478553035,0.22799043862969862,96,-0.005553253844168257,-0.016382610207693906,-0.07139347263841932,0.059780644224032946,0.9857666569649918,1.0,2
gpt-4o-mini,14.6,MICI,MICI,1,2,PTOExp3_LA5_I1,GRPOExp3_LA5_I2,2.17,13.27,0.22243718478553035,0.22758187168720423,96,-0.005144686901673877,-0.017712967483883166,-0.05835375680388047,0.052281354839627994,0.8942172625174641,1.0,2
