judge,arm,iteration,n,mean_all,sd_all,share_ge45_all,share_eq5_all,n_Resistant,mean_Resistant,sd_Resistant,share_ge45_Resistant,share_eq5_Resistant,n_WarmsUp,mean_WarmsUp,sd_WarmsUp,share_ge45_WarmsUp,share_eq5_WarmsUp,n_Cooperative,mean_Cooperative,sd_Cooperative,share_ge45_Cooperative,share_eq5_Cooperative
claude-haiku-4-5,GRPO_LA0,0,96,1.860968137254902,0.6482404745409845,0.0,0.0,32,1.2549632352941176,0.1852503449697697,0.0,0.0,32,1.8283088235294116,0.39645554704321795,0.0,0.0,32,2.499632352941177,0.5431609878199887,0.0,0.0
claude-haiku-4-5,GRPO_LA0,1,96,2.073958333333333,0.7433050886240988,0.0,0.0,32,1.5200367647058823,0.404177480869443,0.0,0.0,32,1.8637867647058823,0.5738800745255868,0.0,0.0,32,2.838051470588235,0.48524146543193153,0.0,0.0
claude-haiku-4-5,GRPO_LA0,2,96,2.1067401960784315,0.6945236673481824,0.0,0.0,32,1.4799632352941177,0.3466641675144819,0.0,0.0,32,2.10625,0.5628387410048591,0.0,0.0,32,2.734007352941177,0.4791319642513091,0.0,0.0
claude-haiku-4-5,GRPO_LA0,3,96,2.6365808823529413,0.5964224082280992,0.0,0.0,32,1.9830882352941177,0.2725887192997844,0.0,0.0,32,2.764705882352941,0.30555375723447936,0.0,0.0,32,3.161948529411765,0.4239718971889325,0.0,0.0
claude-haiku-4-5,GRPO_LA0,4,96,2.5504289215686273,0.785172064026016,0.0,0.0,32,1.7913602941176472,0.3493044269832891,0.0,0.0,32,2.8757352941176473,0.6021443802538394,0.0,0.0,32,2.984191176470588,0.7116454139686992,0.0,0.0
claude-haiku-4-5,GRPO_LA0,5,96,2.486580882352941,0.8375214289574018,0.0,0.0,32,1.7064338235294119,0.33478392348104774,0.0,0.0,32,2.5737132352941177,0.6649031367157333,0.0,0.0,32,3.1795955882352938,0.6808397544471305,0.0,0.0
claude-haiku-4-5,GRPO_LA0,6,96,2.370526960784314,0.9308714073245794,0.0,0.0,32,1.7952205882352943,0.4260478504170164,0.0,0.0,32,2.5283088235294118,0.9143184381127955,0.0,0.0,32,2.7880514705882353,1.0443523902942409,0.0,0.0
claude-haiku-4-5,GRPO_LA0,7,96,2.5651960784313723,0.8592033032263766,0.0,0.0,32,1.8349264705882353,0.41649207563647156,0.0,0.0,32,2.6580882352941178,0.6925330866641445,0.0,0.0,32,3.202573529411765,0.7940353285045141,0.0,0.0
claude-haiku-4-5,GRPO_LA0,8,96,2.617156862745098,0.7590904403340674,0.0,0.0,32,1.9018382352941177,0.2763168755946037,0.0,0.0,32,2.486764705882353,0.4876050434767172,0.0,0.0,32,3.4628676470588236,0.40949343091576634,0.0,0.0
claude-haiku-4-5,GRPO_LA0,9,96,2.0022058823529414,0.8730211382602415,0.0,0.0,32,1.582720588235294,0.39388374916721286,0.0,0.0,32,1.7141544117647058,0.5890579813965995,0.0,0.0,32,2.7097426470588237,1.024443537543197,0.0,0.0
