train_iter,tau,n_groups_K0,n_groups_K5,yield_K0_raw,yield_K5_raw,gap_K5_minus_K0,yield_K0_x_r1,gap_after_rescale_K0,share_gap_closed_r1,yield_K5_div_r1,share_gap_closed_K5down,yield_K0_x_r_iter,share_gap_closed_r_iter
8,0.05,517,767,0.8762088974854932,0.877444589308996,0.0012356918235028047,0.8781431334622823,-0.0006985441532862957,1.5653061224489928,0.8448500651890483,26.37755102040926,0.8781431334622823,1.5653061224489928
8,0.1,517,767,0.7330754352030948,0.7366362451108214,0.0035608099077265587,0.7969052224371374,-0.060268977326315976,17.925637393767932,0.5710560625814863,46.50070821529804,0.7949709864603481,17.382436260623436
8,0.15,517,767,0.5570599613152805,0.5710560625814863,0.013996101266205874,0.7504835589941973,-0.17942749641271094,13.819819819819791,0.4132985658409387,11.271531531531512,0.7021276595744681,10.364864864864845
8,0.2,517,767,0.46421663442940037,0.49282920469361147,0.0286125702642111,0.6092843326885881,-0.11645512799497659,5.07006874669487,0.318122555410691,6.105940419531109,0.5570599613152805,3.244843997884716
8,0.3,517,767,0.21083172147001933,0.3285528031290743,0.11772108165905498,0.4796905222437137,-0.1511377191146394,2.2838628135644052,0.1773142112125163,1.284719693237077,0.379110251450677,1.429468091943189
9,0.05,446,761,0.9170403587443946,0.9132720105124835,-0.0037683482319110784,0.9170403587443946,-0.0037683482319110784,-0.0,0.8501971090670171,-16.73807662236106,0.9170403587443946,-0.0
9,0.1,446,761,0.8094170403587444,0.7936925098554534,-0.015724530503291034,0.8856502242152466,-0.09195771435979327,-4.84804197114484,0.6307490144546649,-10.362375866591725,0.8856502242152466,-4.84804197114484
9,0.15,446,761,0.647982062780269,0.6307490144546649,-0.017233048325604128,0.8295964125560538,-0.19884739810138885,-10.538724568302282,0.44152431011826543,-10.980338519405038,0.773542600896861,-7.286031800307754
9,0.2,446,761,0.5269058295964125,0.5466491458607096,0.01974331626429704,0.6928251121076233,-0.14617596624691376,8.40382032532458,0.3600525624178712,9.451126697507833,0.647982062780269,6.132517534696314
9,0.3,446,761,0.30269058295964124,0.3771353482260184,0.07444476526637717,0.5358744394618834,-0.158739091235865,3.1323069616495816,0.22733245729303547,2.01226896742787,0.4461883408071749,1.9275735148612811
10,0.05,410,926,0.8195121951219512,0.8390928725701944,0.01958067744824321,0.8195121951219512,0.01958067744824321,0.0,0.7807775377969762,2.978208232445514,0.8195121951219512,0.0
10,0.1,410,926,0.6853658536585366,0.6663066954643628,-0.01905915819417381,0.7585365853658537,-0.09222988990149084,-3.839137645107777,0.5,-8.725815367606378,0.7536585365853659,-3.583195135433925
10,0.15,410,926,0.5414634146341464,0.5,-0.04146341463414638,0.7317073170731707,-0.23170731707317072,-4.588235294117641,0.3369330453563715,-3.932791259052214,0.6073170731707317,-1.5882352941176443
10,0.2,410,926,0.43414634146341463,0.42332613390928725,-0.010820207554127381,0.5609756097560976,-0.13764947584681037,-11.721518987341772,0.2613390928725702,-14.970788704965916,0.5219512195121951,-8.114897760467379
10,0.3,410,926,0.24390243902439024,0.26997840172786175,0.02607596270347151,0.45365853658536587,-0.18368013485750412,8.044040404040409,0.1490280777537797,4.638383838383841,0.3073170731707317,2.4319191919191936
pooled,0.05,6240,7547,0.9056089743589744,0.9288458990327282,0.023236924673753823,0.9060897435897436,0.022756155442984594,0.02068988205277695,0.8986352192924341,1.3001152331666839,0.9129807692307692,0.31724485814257986
pooled,0.1,6240,7547,0.7908653846153846,0.850139128130383,0.05927374351499837,0.8576923076923076,-0.007553179561924694,1.127428758738909,0.7311514509076454,2.0074263943297153,0.8641025641025641,1.2355754022630263
pooled,0.15,6240,7547,0.6291666666666667,0.7312839538889625,0.10211728722229585,0.8136217948717949,-0.08233784098283237,1.8063065835620344,0.5838081356830529,1.444180728037499,0.7947115384615384,1.621124848670357
pooled,0.2,6240,7547,0.53125,0.6597323439777395,0.1284823439777395,0.6629807692307692,-0.0032484252530297075,1.025283047868371,0.475818205909633,1.431435109091495,0.6798076923076923,1.1562498605522875
pooled,0.3,6240,7547,0.29743589743589743,0.4922485755929508,0.1948126781570534,0.5424679487179487,-0.05021937312499786,1.2577828794310408,0.2765337220087452,1.1072937122208308,0.5230769230769231,1.1582461047998078
