train_iter,tau,n_groups_K0,n_groups_K5,yield_K0_raw,yield_K5_raw,gap_K5_minus_K0,yield_K0_x_r1,gap_after_rescale_K0,share_gap_closed_r1,yield_K5_div_r1,share_gap_closed_K5down,yield_K0_x_r_iter,share_gap_closed_r_iter
1,0.05,949,890,0.9146469968387777,0.9617977528089887,0.04715075597021101,0.9157007376185459,0.04609701519044285,0.02234833266372014,0.950561797752809,0.23829851345921926,0.9157007376185459,0.02234833266372014
1,0.1,949,890,0.8240252897787145,0.9348314606741573,0.11080617089544287,0.8724973656480506,0.06233409502610676,0.43744924562978127,0.8696629213483146,0.5881309569602947,0.8724973656480506,0.43744924562978127
1,0.15,949,890,0.6649104320337197,0.8707865168539326,0.2058760848202129,0.8366701791359326,0.034116337718000045,0.8342870287833912,0.7404494382022472,0.6330850849699514,0.8366701791359326,0.8342870287833912
1,0.2,949,890,0.5637513171759747,0.802247191011236,0.23849587383526127,0.6912539515279241,0.11099323948331186,0.5346114895053515,0.6022471910112359,0.838588931472031,0.6912539515279241,0.5346114895053515
1,0.3,949,890,0.3656480505795574,0.6224719101123596,0.2568238595328022,0.5742887249736565,0.04818318513870312,0.8123882055726639,0.3539325842696629,1.0456167364325362,0.5742887249736565,0.8123882055726639
2,0.05,772,837,0.9209844559585493,0.959378733572282,0.03839427761373271,0.9209844559585493,0.03839427761373271,0.0,0.9438470728793309,0.40453061389012274,0.9209844559585493,0.0
2,0.1,772,837,0.8005181347150259,0.929510155316607,0.1289920206015811,0.8743523316062176,0.05515782371038935,0.5723935212957408,0.8518518518518519,0.6020395920815835,0.8743523316062176,0.5723935212957408
2,0.15,772,837,0.6632124352331606,0.8518518518518519,0.1886394166186912,0.8238341968911918,0.02801765496066011,0.85147507629705,0.7407407407407407,0.5890132248219738,0.8238341968911918,0.85147507629705
2,0.2,772,837,0.5751295336787565,0.7956989247311828,0.22056939105242623,0.6981865284974094,0.09751239623377339,0.5579060368779997,0.6069295101553166,0.8558277904072299,0.7266839378238342,0.6871053296286943
2,0.3,772,837,0.3160621761658031,0.6344086021505376,0.3183464259847345,0.5880829015544041,0.0463257005961335,0.8544802240112005,0.3823178016726404,0.791875704896356,0.6113989637305699,0.9277213860693033
3,0.05,787,816,0.9212198221092758,0.9644607843137255,0.04324096220444973,0.9212198221092758,0.04324096220444973,0.0,0.9546568627450981,0.22672764593611516,0.9758576874205845,1.263567287262776
3,0.1,787,816,0.7878017789072427,0.9411764705882353,0.1533746916809926,0.866581956797967,0.07459451379026827,0.5136452241715403,0.8713235294117647,0.45543981481481466,0.9212198221092758,0.8698830409356729
3,0.15,787,816,0.6429479034307497,0.8713235294117647,0.22837562598101502,0.8055908513341804,0.06573267807758432,0.7121729703193076,0.7475490196078431,0.541977758231568,0.866581956797967,0.9792378341890484
3,0.2,787,816,0.5349428208386277,0.8161764705882353,0.28123364974960763,0.6683608640406608,0.14781560654757453,0.4744028437593437,0.6225490196078431,0.6884931840581153,0.7547649301143583,0.7816351616225374
3,0.3,787,816,0.30241423125794153,0.6311274509803921,0.3287132197224506,0.5412960609911055,0.08983138998928664,0.7267180490485419,0.38848039215686275,0.7381724988986105,0.602287166454892,0.9122630828481694
4,0.05,647,613,0.9227202472952086,0.9787928221859706,0.056072574890762006,0.9227202472952086,0.056072574890762006,0.0,0.9526916802610114,0.465488556140115,0.9227202472952086,0.0
4,0.1,647,613,0.8284389489953632,0.9184339314845025,0.08999498248913929,0.8825347758887172,0.03589915559578527,0.6010982545597181,0.799347471451876,1.3232566609699377,0.8825347758887172,0.6010982545597181
4,0.15,647,613,0.6476043276661515,0.799347471451876,0.1517431437857245,0.848531684698609,-0.049184213246732944,1.3241280760347607,0.6639477977161501,0.892295166409119,0.848531684698609,1.3241280760347607
4,0.2,647,613,0.5455950540958269,0.7373572593800979,0.19176220528427101,0.6831530139103554,0.05420424546974245,0.7173361383209517,0.5579119086460033,0.935770166327,0.749613601236476,1.063914272565906
4,0.3,647,613,0.27666151468315303,0.566068515497553,0.28940700081439996,0.5564142194744977,0.009654296023055342,0.9666411109755885,0.3164763458401305,0.8624261643811748,0.5811437403400309,1.052090048962381
5,0.05,600,467,0.915,0.9678800856531049,0.05288008565310487,0.915,0.05288008565310487,0.0,0.9421841541755889,0.4859283255719781,0.915,0.0
5,0.1,600,467,0.805,0.9250535331905781,0.1200535331905781,0.8683333333333333,0.05672019985724486,0.5275424358631345,0.8137044967880086,0.9274948720235442,0.8683333333333333,0.5275424358631345
5,0.15,600,467,0.615,0.8137044967880086,0.1987044967880086,0.8383333333333334,-0.024628836545324773,1.1239470517448857,0.6595289079229122,0.7759038741311494,0.8383333333333334,1.1239470517448857
5,0.2,600,467,0.545,0.7516059957173448,0.20660599571734473,0.66,0.09160599571734473,0.5566150178784267,0.5438972162740899,1.0053376172462043,0.72,0.8470228532932578
5,0.3,600,467,0.32,0.563169164882227,0.243169164882227,0.5566666666666666,0.0065024982155603706,0.9732593636256895,0.29764453961456105,1.0919337794998238,0.5733333333333334,1.0417987554303159
6,0.05,591,663,0.9103214890016921,0.942684766214178,0.032363277212485886,0.9120135363790186,0.030671229835159353,0.05228294298556805,0.9095022624434389,1.025313461083512,0.9120135363790186,0.05228294298556805
6,0.1,591,663,0.8037225042301185,0.8567119155354449,0.05298941130532642,0.8815566835871405,-0.024844768051695554,1.46886288108655,0.7300150829562594,2.390983961855227,0.8815566835871405,1.46886288108655
6,0.15,591,663,0.6192893401015228,0.7300150829562594,0.11072574285473658,0.8341793570219966,-0.10416427406573725,1.9407412529387367,0.5671191553544495,1.4711658138570045,0.766497461928934,1.3294841653989766
6,0.2,591,663,0.5194585448392555,0.6410256410256411,0.12156709618638561,0.6514382402707276,-0.010412599245086529,1.0856531049250533,0.4555052790346908,1.526073812822773,0.649746192893401,1.0717344753747313
6,0.3,591,663,0.2825719120135364,0.48265460030165913,0.20008268828812276,0.5296108291032149,-0.046956228801555755,1.2346841158688249,0.24283559577677225,1.1985994719320399,0.4653130287648054,0.9133279761221443
7,0.05,521,807,0.8925143953934741,0.919454770755886,0.026940375362411895,0.8925143953934741,0.026940375362411895,0.0,0.8946716232961586,0.9199258409110994,0.8925143953934741,0.0
7,0.1,521,807,0.7677543186180422,0.8537794299876085,0.08602511136956625,0.836852207293666,0.016927222693942423,0.803229284746606,0.724907063197026,1.4980784649838255,0.836852207293666,0.803229284746606
7,0.15,521,807,0.6218809980806143,0.724907063197026,0.10302606511641177,0.7869481765834933,-0.06204111338646723,1.6021885172103332,0.5712515489467163,1.491423690467946,0.7389635316698656,1.1364360412770964
7,0.2,521,807,0.527831094049904,0.6431226765799256,0.11529158253002159,0.6506717850287908,-0.007549108448865138,1.0654784007921774,0.4721189591078067,1.483228122292363,0.6506717850287908,1.0654784007921774
7,0.3,521,807,0.2783109404990403,0.49070631970260226,0.21239537920356194,0.5374280230326296,-0.04672170333002734,1.2199751402559882,0.24039653035935563,1.1785086393209485,0.4932821497120921,1.0121275237679308
