arm,train_iter,realized_turns,n,dev_mean,dev_lo,dev_hi,score_mean,p_chosen
PTO_LA5,1,0,47,-0.050204720185946766,-0.09424625648131597,-0.007884219113177209,3.3409261576971216,0.0425531914893617
PTO_LA5,1,1,671,-0.012499185963506096,-0.021948117697153352,-0.0027980375458678173,3.805365126676602,0.10283159463487332
PTO_LA5,1,2,40,-0.00757878151260506,-0.0734344800420168,0.05250873161764704,2.8338235294117644,0.125
PTO_LA5,1,3,697,-0.010303803013314334,-0.019801976457727962,0.0003890648798974749,3.659321461726728,0.10473457675753228
PTO_LA5,1,4,37,-0.11868044515103338,-0.17666285771065188,-0.06128577106518275,2.699841017488077,0.05405405405405406
PTO_LA5,1,5,5605,0.004036155943197977,-0.00023971569002265793,0.008404703808374372,3.190447604554757,0.13184656556645852
PTO_LA5,2,0,16,-0.10850183823529407,-0.2087833180147059,-0.02971737132352944,3.2963235294117648,0.0625
PTO_LA5,2,1,652,-0.009116905964839897,-0.019119689094963113,-0.0009744902562251702,3.920299530855287,0.10276073619631902
PTO_LA5,2,2,27,-0.09433551198257074,-0.13851239106753804,-0.05237132352941172,3.022222222222222,0.0
PTO_LA5,2,3,630,-0.00067026810724288,-0.011209533813525395,0.00986634653861545,3.8806255835667596,0.11746031746031746
PTO_LA5,2,4,36,-0.0999795751633987,-0.15838848039215686,-0.05512152777777785,2.8197712418300656,0.0
PTO_LA5,2,5,5324,0.0026763419492515316,-0.0015754931292577075,0.007198013080138145,3.378398594599372,0.13054094665664914
PTO_LA5,3,0,23,-0.09069236390208262,-0.14065902447935702,-0.04232656649616373,3.3276214833759594,0.0
PTO_LA5,3,1,622,-0.016910075927477102,-0.025662106683509413,-0.00699838637223379,3.9892093815017966,0.1045016077170418
PTO_LA5,3,2,24,-0.0890318627450981,-0.13677542892156866,-0.0367853860294119,3.0147058823529416,0.125
PTO_LA5,3,3,721,-0.005775562652245354,-0.015561799962703508,0.0036512954696441666,3.9073753773354007,0.11234396671289876
PTO_LA5,3,4,42,-0.1122198879551821,-0.1801356792717087,-0.05706582633053223,2.800700280112045,0.0
PTO_LA5,3,5,5090,0.004640112430040772,-0.0006062503095540851,0.00994913304221491,3.467789206055704,0.13104125736738703
PTO_LA5,4,0,18,-0.06254084967320263,-0.12984681372549028,-0.005968137254901923,3.830065359477125,0.05555555555555555
PTO_LA5,4,1,643,-0.009788020962661908,-0.01637311806526656,-0.0030166907353921446,4.177696459610283,0.09642301710730948
PTO_LA5,4,2,13,-0.159898190045249,-0.2103803733031675,-0.10307126696832604,3.652941176470588,0.0
PTO_LA5,4,3,607,-0.005177861919067467,-0.015690318137139538,0.004954240963271622,4.089378815776723,0.1301482701812191
PTO_LA5,4,4,17,-0.011115916955017327,-0.13934039792387534,0.10679714532871981,3.6802768166089965,0.11764705882352941
PTO_LA5,4,5,3601,0.0035629108627622053,-0.001959379280732014,0.009406673041335389,3.6701569825375304,0.130241599555679
PTO_LA5,5,0,95,-0.05342075777679496,-0.08197737358101138,-0.028449012236473573,3.5575232198142412,0.10526315789473684
PTO_LA5,5,1,501,-0.008794693526113046,-0.017662841334138455,-0.0006439659197012403,4.243935658095573,0.1157684630738523
PTO_LA5,5,2,71,-0.03363701818755667,-0.06211850021698813,-0.004961612814139713,3.310356255178127,0.16901408450704225
PTO_LA5,5,3,460,0.007901260504201665,-0.0020892050298380524,0.017705466751918145,4.191329923273657,0.1282608695652174
PTO_LA5,5,4,59,-0.0307604567250629,-0.07491883575464081,0.011177378578550083,3.4463609172482554,0.1016949152542373
PTO_LA5,5,5,2165,0.004641860901404447,-0.002712631969646974,0.011873449760966739,3.7535036000543407,0.1491916859122402
PTO_LA5,6,0,6,-0.07242647058823515,-0.15749387254901956,0.011029411764706065,3.876470588235294,0.0
PTO_LA5,6,1,666,-0.007945024856789572,-0.015706013261160334,-0.00024156903752492844,4.104707648825296,0.1036036036036036
PTO_LA5,6,2,12,-0.14730392156862748,-0.2057444852941175,-0.08534007352941188,3.6181372549019604,0.08333333333333333
PTO_LA5,6,3,696,-0.006138468318361837,-0.01370782472471747,0.0005771726794165741,4.114283299526708,0.10775862068965517
PTO_LA5,6,4,17,-0.09221453287197241,-0.14311526816609002,-0.047281574394463705,3.7588235294117647,0.0
PTO_LA5,6,5,3892,0.0034259027351947993,-0.0013361434951678509,0.008557036573622253,3.8655431956955444,0.13309352517985612
PTO_LA5,7,0,27,-0.09707697893972417,-0.16661356209150335,-0.029765568264342877,3.994989106753813,0.07407407407407407
PTO_LA5,7,1,761,-0.018507501555155563,-0.024855040406438503,-0.012378884208085335,4.255252376903455,0.08541392904073587
PTO_LA5,7,2,29,-0.07801724137931047,-0.14091024340770808,-0.015737829614604546,3.5137931034482754,0.034482758620689655
PTO_LA5,7,3,759,-0.0027158689562781727,-0.010169613794134271,0.004667744073914145,4.1666899170735485,0.12648221343873517
PTO_LA5,7,4,29,-0.06289481309765287,-0.10571808895972183,-0.021724137931034653,3.6257606490872205,0.0
PTO_LA5,7,5,4839,0.004722686760176267,0.0007577183849361114,0.008627530393227749,3.934750738485102,0.13287869394502996
