metric,level,spearman_rho,p,pearson_r,n
Final,15 model means,0.8357142857142855,0.00010444687327713341,0.8660850400284994,15
Final,14 trained model means,0.7978021978021977,0.0006282758224581755,0.8434998382174888,14
Final,per conversation (pooled),0.6744379904125035,1.0944301176795522e-191,0.7978157670854845,1440
Q1,15 model means,0.8954427168083399,6.43563639454796e-06,0.8817423217160868,15
Q1,14 trained model means,0.8756880986543099,4.054837314957058e-05,0.8669841483032413,14
Q1,per conversation (pooled),0.6591976786393412,3.0176141590849545e-180,0.7670561993500458,1440
Q2,15 model means,0.8178571428571428,0.0001951365470631986,0.7995392751328618,15
Q2,14 trained model means,0.7802197802197802,0.0009944938002309496,0.7629628895124873,14
Q2,per conversation (pooled),0.5630258606983959,3.3201286270315646e-121,0.6943671737930182,1440
