judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs,delta_K0_minus_K5,dz_K0_minus_K5
claude-haiku-4-5,2.17,Q1Q2,Q1Q2,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,2.011519607843137,2.199203431372549,96,-0.1876838235294118,-0.2588243196938318,-0.32967064950980396,-0.04624693627450984,0.014705228583683214,0.014705228583683214,6,0.1876838235294118,0.2588243196938318
claude-haiku-4-5,4.64,Q1Q2,Q1Q2,2,4,PTOExp3_LA5_I2,PTOExp3_LA0_I4,4.64,3.9,2.063112745098039,2.6804534313725488,96,-0.6173406862745098,-0.943110932653191,-0.7493933823529412,-0.49239583333333337,1.119059631340822e-12,6.714357788044932e-12,6,0.6173406862745098,0.943110932653191
claude-haiku-4-5,7.25,Q1Q2,Q1Q2,3,8,PTOExp3_LA5_I3,PTOExp3_LA0_I8,7.25,6.88,2.3499387254901962,2.8954656862745094,96,-0.5455269607843137,-0.7591559885779544,-0.6905652573529412,-0.40530943627450994,1.3087758109671782e-10,6.543879054835891e-10,6,0.5455269607843137,0.7591559885779544
claude-haiku-4-5,8.94,Q1Q2,Q1Q2,4,9,PTOExp3_LA5_I4,PTOExp3_LA0_I9,8.94,7.49,2.5573529411764704,2.9210784313725493,96,-0.3637254901960784,-0.6137437546906763,-0.4816881127450981,-0.25153033088235294,2.2638963980072242e-07,6.791689194021672e-07,6,0.3637254901960784,0.6137437546906763
claude-haiku-4-5,10.0,Q1Q2,Q1Q2,5,9,PTOExp3_LA5_I5,PTOExp3_LA0_I9,10.0,7.49,2.578799019607843,2.9210784313725493,96,-0.3422794117647059,-0.7378325264021073,-0.4381816789215686,-0.24785845588235333,2.502428320432542e-09,1.0009713281730167e-08,6,0.3422794117647059,0.7378325264021073
claude-haiku-4-5,12.7,Q1Q2,Q1Q2,5,9,PTOExp3_LA5_I5,PTOExp3_LA0_I9,10.0,7.49,2.578799019607843,2.9210784313725493,96,-0.3422794117647059,-0.7378325264021073,-0.4381816789215686,-0.24785845588235333,2.502428320432542e-09,1.0009713281730167e-08,6,0.3422794117647059,0.7378325264021073
claude-haiku-4-5,14.6,Q1Q2,Q1Q2,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,14.6,7.49,2.7352941176470584,2.9210784313725493,96,-0.18578431372549023,-0.32275340175977657,-0.3005897671568628,-0.07195925245098062,0.005419597270861172,0.010839194541722344,6,0.18578431372549023,0.32275340175977657
claude-haiku-4-5,16.17,Q1Q2,Q1Q2,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,14.6,7.49,2.7352941176470584,2.9210784313725493,96,-0.18578431372549023,-0.32275340175977657,-0.3005897671568628,-0.07195925245098062,0.005419597270861172,0.010839194541722344,6,0.18578431372549023,0.32275340175977657
claude-haiku-4-5,18.03,Q1Q2,Q1Q2,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,14.6,7.49,2.7352941176470584,2.9210784313725493,96,-0.18578431372549023,-0.32275340175977657,-0.3005897671568628,-0.07195925245098062,0.005419597270861172,0.010839194541722344,6,0.18578431372549023,0.32275340175977657
claude-haiku-4-5,19.68,Q1Q2,Q1Q2,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,14.6,7.49,2.7352941176470584,2.9210784313725493,96,-0.18578431372549023,-0.32275340175977657,-0.3005897671568628,-0.07195925245098062,0.005419597270861172,0.010839194541722344,6,0.18578431372549023,0.32275340175977657
claude-haiku-4-5,2.17,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,4.64,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,7.25,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,8.94,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,10.0,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,12.7,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,14.6,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,16.17,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,18.03,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
claude-haiku-4-5,19.68,MICI,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.3968014312727388,0.3458378583383421,96,0.05096357293439674,0.1263864800870628,-0.027112600263963362,0.13178294904706703,0.41437152101125363,0.41437152101125363,1,-0.05096357293439674,-0.1263864800870628
