judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs
claude-haiku-4-5,2.8,Q1Q2,Q1Q2,3,1,PTOExp3_LA0_I3,GRPOExp3_LA0_I1,2.8,2.61,2.480208333333333,2.073958333333333,96,0.40625,0.576008283436008,0.2688066789215686,0.5419960171568626,5.109277334207435e-07,5.109277334207435e-07,6
claude-haiku-4-5,3.9,Q1Q2,Q1Q2,4,1,PTOExp3_LA0_I4,GRPOExp3_LA0_I1,3.9,2.61,2.6804534313725488,2.073958333333333,96,0.6064950980392156,0.8434775725568153,0.46365655637254904,0.7429457720588232,1.1192673739309766e-10,2.2385347478619532e-10,6
claude-haiku-4-5,4.66,Q1Q2,Q1Q2,5,1,PTOExp3_LA0_I5,GRPOExp3_LA0_I1,4.66,2.61,2.7519607843137255,2.073958333333333,96,0.6780024509803922,0.96353177349963,0.5396875,0.8232873774509804,3.4104310195917185e-12,1.0231293058775155e-11,6
claude-haiku-4-5,5.37,Q1Q2,Q1Q2,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,2.8495710784313726,2.1067401960784315,96,0.7428308823529411,1.1436177425827687,0.6173912377450981,0.8729886642156863,4.943131637309616e-14,1.9772526549238463e-13,6
claude-haiku-4-5,6.07,Q1Q2,Q1Q2,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,2.8495710784313726,2.1067401960784315,96,0.7428308823529411,1.1436177425827687,0.6173912377450981,0.8729886642156863,4.943131637309616e-14,1.9772526549238463e-13,6
claude-haiku-4-5,6.88,Q1Q2,Q1Q2,8,2,PTOExp3_LA0_I8,GRPOExp3_LA0_I2,6.88,5.25,2.8954656862745094,2.1067401960784315,96,0.7887254901960784,1.3430864245178502,0.671436887254902,0.9072947303921568,1.2141657095495063e-15,6.070828547747532e-15,6
claude-haiku-4-5,7.49,Q1Q2,Q1Q2,9,2,PTOExp3_LA0_I9,GRPOExp3_LA0_I2,7.49,5.25,2.9210784313725493,2.1067401960784315,96,0.8143382352941178,1.3936943053304007,0.6973391544117646,0.9293933823529409,4.1976699321930927e-16,2.5186019593158556e-15,6
claude-haiku-4-5,8.12,Q1Q2,Q1Q2,9,2,PTOExp3_LA0_I9,GRPOExp3_LA0_I2,7.49,5.25,2.9210784313725493,2.1067401960784315,96,0.8143382352941178,1.3936943053304007,0.6973391544117646,0.9293933823529409,4.1976699321930927e-16,2.5186019593158556e-15,6
claude-haiku-4-5,2.8,MICI,MICI,2,1,PTOExp3_LA0_I2,GRPOExp3_LA0_I1,1.93,2.61,0.3458378583383421,0.37318383796107285,96,-0.027345979622730776,-0.07028982925839694,-0.10590527440547998,0.04738840035465298,0.44960177934526235,0.7634624451546941,2
claude-haiku-4-5,3.9,MICI,MICI,2,1,PTOExp3_LA0_I2,GRPOExp3_LA0_I1,1.93,2.61,0.3458378583383421,0.37318383796107285,96,-0.027345979622730776,-0.07028982925839694,-0.10590527440547998,0.04738840035465298,0.44960177934526235,0.7634624451546941,2
claude-haiku-4-5,4.66,MICI,MICI,2,1,PTOExp3_LA0_I2,GRPOExp3_LA0_I1,1.93,2.61,0.3458378583383421,0.37318383796107285,96,-0.027345979622730776,-0.07028982925839694,-0.10590527440547998,0.04738840035465298,0.44960177934526235,0.7634624451546941,2
claude-haiku-4-5,5.37,MICI,MICI,2,2,PTOExp3_LA0_I2,GRPOExp3_LA0_I2,1.93,5.25,0.3458378583383421,0.3090360559454019,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,0.7634624451546941,2
claude-haiku-4-5,6.07,MICI,MICI,2,2,PTOExp3_LA0_I2,GRPOExp3_LA0_I2,1.93,5.25,0.3458378583383421,0.3090360559454019,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,0.7634624451546941,2
claude-haiku-4-5,6.88,MICI,MICI,2,2,PTOExp3_LA0_I2,GRPOExp3_LA0_I2,1.93,5.25,0.3458378583383421,0.3090360559454019,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,0.7634624451546941,2
claude-haiku-4-5,7.49,MICI,MICI,2,2,PTOExp3_LA0_I2,GRPOExp3_LA0_I2,1.93,5.25,0.3458378583383421,0.3090360559454019,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,0.7634624451546941,2
claude-haiku-4-5,8.12,MICI,MICI,2,2,PTOExp3_LA0_I2,GRPOExp3_LA0_I2,1.93,5.25,0.3458378583383421,0.3090360559454019,96,0.03680180239294016,0.09233982133963664,-0.040753749450888097,0.1145920006924566,0.38173122257734704,0.7634624451546941,2
claude-haiku-4-5,2.8,Q1Q2,MICI,3,1,PTOExp3_LA0_I3,GRPOExp3_LA0_I1,2.8,2.61,0.41738379545608817,0.37318383796107285,96,0.044199957495015284,0.10771352045692377,-0.035566859580150774,0.125153851345887,0.3638226781449566,0.7276453562899132,6
claude-haiku-4-5,3.9,Q1Q2,MICI,4,1,PTOExp3_LA0_I4,GRPOExp3_LA0_I1,3.9,2.61,0.38939072297528177,0.37318383796107285,96,0.016206885014208926,0.043482902891493744,-0.060131251484198706,0.09109599997816545,0.570657365338227,0.7276453562899132,6
claude-haiku-4-5,4.66,Q1Q2,MICI,5,1,PTOExp3_LA0_I5,GRPOExp3_LA0_I1,4.66,2.61,0.5030036800252551,0.37318383796107285,96,0.1298198420641822,0.32682277777602925,0.05091345179042306,0.2059921274883723,0.0029446676472517654,0.008834002941755296,6
claude-haiku-4-5,5.37,Q1Q2,MICI,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,0.5814671998824475,0.3090360559454019,96,0.27243114393704565,0.7644892985891121,0.2003903991296479,0.34207721740168406,1.0482460668185596e-09,4.192984267274238e-09,6
claude-haiku-4-5,6.07,Q1Q2,MICI,6,2,PTOExp3_LA0_I6,GRPOExp3_LA0_I2,5.37,5.25,0.5814671998824475,0.3090360559454019,96,0.27243114393704565,0.7644892985891121,0.2003903991296479,0.34207721740168406,1.0482460668185596e-09,4.192984267274238e-09,6
claude-haiku-4-5,6.88,Q1Q2,MICI,8,2,PTOExp3_LA0_I8,GRPOExp3_LA0_I2,6.88,5.25,0.6711806921792598,0.3090360559454019,96,0.362144636233858,0.9427129247996756,0.2873332188874939,0.4381233543595108,1.0406633028605383e-11,5.203316514302692e-11,6
claude-haiku-4-5,7.49,Q1Q2,MICI,9,2,PTOExp3_LA0_I9,GRPOExp3_LA0_I2,7.49,5.25,0.7465935007670205,0.3090360559454019,96,0.4375574448216186,1.172067085406643,0.36079052330811356,0.5106309160568122,4.352798067163545e-14,2.611678840298127e-13,6
claude-haiku-4-5,8.12,Q1Q2,MICI,9,2,PTOExp3_LA0_I9,GRPOExp3_LA0_I2,7.49,5.25,0.7465935007670205,0.3090360559454019,96,0.4375574448216186,1.172067085406643,0.36079052330811356,0.5106309160568122,4.352798067163545e-14,2.611678840298127e-13,6
