judge,budget_gpu_h,select_metric,eval_metric,best_iter_a,best_iter_b,model_a,model_b,cum_gpu_h_a,cum_gpu_h_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,n_unique_pairs,delta_K0_minus_K5,dz_K0_minus_K5
gpt-4o-mini,18.03,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,19.68,MICI,MICI,1,1,PTOExp3_LA5_I1,PTOExp3_LA0_I1,2.17,0.92,0.22243718478553035,0.2092093991588477,96,0.013227785626682684,0.04277949159169396,-0.04911401665124092,0.07272224426325972,0.9737827809486687,0.9737827809486687,1,-0.013227785626682684,-0.04277949159169396
gpt-4o-mini,2.17,Q1Q2,MICI,1,2,PTOExp3_LA5_I1,PTOExp3_LA0_I2,2.17,1.93,0.22243718478553035,0.2200869120881698,96,0.002350272697360554,0.008266059032789722,-0.05379443381082675,0.05913475319820861,0.9306117987106388,1.0,9,-0.002350272697360554,-0.008266059032789722
gpt-4o-mini,4.64,Q1Q2,MICI,2,4,PTOExp3_LA5_I2,PTOExp3_LA0_I4,4.64,3.9,0.23052356517357483,0.21456431709164872,96,0.015959248081926104,0.05696483374316579,-0.03982782340235658,0.07615097018604781,0.8331142881002794,1.0,9,-0.015959248081926104,-0.05696483374316579
gpt-4o-mini,7.25,Q1Q2,MICI,3,8,PTOExp3_LA5_I3,PTOExp3_LA0_I8,7.25,6.88,0.2479555774604528,0.3488856424748599,96,-0.1009300650144072,-0.31534685549381014,-0.16290299221388532,-0.03751784462691317,0.002182755929345549,0.006548267788036647,9,0.1009300650144072,0.31534685549381014
gpt-4o-mini,8.94,Q1Q2,MICI,4,10,PTOExp3_LA5_I4,PTOExp3_LA0_I10,8.94,8.12,0.3257345343066314,0.491411057597445,96,-0.1656765232908136,-0.5101744996586819,-0.22925777264859534,-0.09921394318997781,5.737946457920882e-06,2.295178583168353e-05,9,0.1656765232908136,0.5101744996586819
gpt-4o-mini,10.0,Q1Q2,MICI,5,10,PTOExp3_LA5_I5,PTOExp3_LA0_I10,10.0,8.12,0.3251298545156546,0.491411057597445,96,-0.1662812030817903,-0.5314898058849178,-0.22755436870289691,-0.10481044208650948,3.981155202215346e-06,1.990577601107673e-05,9,0.1662812030817903,0.5314898058849178
gpt-4o-mini,12.7,Q1Q2,MICI,5,10,PTOExp3_LA5_I5,PTOExp3_LA0_I10,10.0,8.12,0.3251298545156546,0.491411057597445,96,-0.1662812030817903,-0.5314898058849178,-0.22755436870289691,-0.10481044208650948,3.981155202215346e-06,1.990577601107673e-05,9,0.1662812030817903,0.5314898058849178
gpt-4o-mini,14.6,Q1Q2,MICI,7,10,PTOExp3_LA5_I7,PTOExp3_LA0_I10,14.6,8.12,0.2628899325111593,0.491411057597445,96,-0.22852112508628572,-0.7336493031125934,-0.29032206276310624,-0.16811786943804893,1.9651838885361424e-09,1.572147110828914e-08,9,0.22852112508628572,0.7336493031125934
gpt-4o-mini,16.17,Q1Q2,MICI,8,10,PTOExp3_LA5_I8,PTOExp3_LA0_I10,16.17,8.12,0.2901173282510882,0.491411057597445,96,-0.20129372934635673,-0.7286430498452182,-0.25538899377071494,-0.1487315710715981,5.06147147209029e-09,3.0368828832541746e-08,9,0.20129372934635673,0.7286430498452182
gpt-4o-mini,18.03,Q1Q2,MICI,9,10,PTOExp3_LA5_I9,PTOExp3_LA0_I10,18.03,8.12,0.2692849565921837,0.491411057597445,96,-0.22212610100526123,-0.7912908208342504,-0.2779077040712949,-0.16754670097748903,2.3644950404308656e-10,2.128045536387779e-09,9,0.22212610100526123,0.7912908208342504
gpt-4o-mini,19.68,Q1Q2,MICI,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,19.68,8.12,0.2636857207387288,0.491411057597445,96,-0.2277253368587162,-0.7078745170547895,-0.29100962044348655,-0.16379159612426658,2.9349094122165854e-09,2.0544365885516098e-08,9,0.2277253368587162,0.7078745170547895
