arm,method,K,train_iter,eval_iter,agreement,ci_lo,ci_hi,n_pairs,n_convs,n_bins,agr_12-20,lo_12-20,hi_12-20,pairs_12-20,agr_22-34,lo_22-34,hi_22-34,pairs_22-34,agr_36-50,lo_36-50,hi_36-50,pairs_36-50,agreement_heldout,ci_lo_heldout,ci_hi_heldout,n_pairs_heldout
PTO_LA0,PTO,0,1,0,0.8090868397493286,0.7561452549976007,0.8550585604847456,26808,87,19,0.8316838005235936,0.784596218318991,0.8697152640761284,15661,0.7796736828994894,0.7004217170850017,0.8464002655144355,8029,0.7713277742142399,0.6541050100992359,0.8688269626257424,3118,0.7450608197102347,0.6807045339086538,0.8016842320389679,25814
PTO_LA0,PTO,0,2,1,0.8091962346125996,0.7455892587561643,0.8661372411789514,19334,84,19,0.8478346924234027,0.7996281198302102,0.8896897672042919,12631,0.7576804217415015,0.671447429440218,0.834686684782569,5501,0.6389351081530782,0.4790638381124965,0.764112627986348,1202,0.7626459143968871,0.7032087826627569,0.8212822908770055,19275
PTO_LA0,PTO,0,3,2,0.8075949367088607,0.7554230857601775,0.854721713008321,20935,87,19,0.827673041584428,0.7839115909521704,0.8653695291899176,14693,0.7580613640805159,0.6686573936631605,0.8349281773531588,5117,0.7706666666666667,0.5804720202687816,0.903927479338843,1125,0.7989995235826584,0.7583620948001268,0.8346946510012067,20990
PTO_LA0,PTO,0,4,3,0.8211666323942697,0.7784714421192884,0.8627688700204479,14589,76,19,0.8393782383419689,0.7994373623837884,0.8746489689912322,10229,0.7818230135530162,0.7119085674477267,0.8505191835506508,3763,0.7571189279731994,0.5625909829857199,0.9006202441344324,597,0.7867417560048854,0.7339051084254052,0.8366773805603146,14738
PTO_LA0,PTO,0,5,4,0.839341163764007,0.7887999791262659,0.8777963331025807,14814,83,19,0.8428486343912193,0.7970864316032314,0.8795677181992649,11753,0.8231488138030194,0.7376794973161841,0.8872820684953304,2782,0.8530465949820788,0.7073065601345668,0.9605355042634519,279,0.7737934753302778,0.7286801701173965,0.8162316434502959,14836
PTO_LA0,PTO,0,6,5,0.8678144359602363,0.8268497154111618,0.9001201096954994,13882,84,19,0.8889400921658986,0.8606216728299139,0.9123372101765107,10850,0.8058540200074101,0.7133232101804263,0.8791253880211062,2699,0.6816816816816816,0.4847962382445141,0.8528834970276555,333,0.7962976198985062,0.7557065993699355,0.835329020526546,13991
PTO_LA0,PTO,0,7,6,0.8774802876700459,0.8472374614090584,0.904434247915567,11541,85,19,0.8874986966948181,0.858135886113983,0.9108429840723069,9591,0.8265486725663717,0.7432272959478203,0.8964353015075376,1695,0.8392156862745098,0.5626079748713027,1.0,255,0.8225737494655836,0.7793363461516082,0.8604477470895382,11695
PTO_LA0,PTO,0,8,7,0.8685251798561151,0.8218771535510566,0.9073591640067269,11120,84,19,0.8722443273470266,0.8293243752122887,0.908151868183194,9299,0.8397097625329816,0.7432994066554669,0.9190679274762008,1516,0.898360655737705,0.7781163194444444,0.9852959110473458,305,0.8029003448580776,0.7527497018437797,0.8469362697222133,11309
PTO_LA0,PTO,0,9,8,0.8676974162083636,0.823603849825803,0.9032138135665262,9637,88,19,0.8705758673052214,0.8278797781531514,0.9038681523362767,8561,0.8437832093517534,0.7249197990273786,0.9377359175377468,941,0.8518518518518519,0.5291795665634675,1.0,135,0.7745700245700246,0.711423231441569,0.832944634463588,9768
PTO_LA0,PTO,0,10,9,0.8774985388661601,0.8331184099637757,0.9208322185003311,8555,82,19,0.8826132222800624,0.8404983186159046,0.9209347202691638,7684,0.83125,0.6846610181240123,0.9371343718944994,800,0.8450704225352113,0.0,1.0,71,0.8160732923576481,0.7691167683898832,0.8571066639675415,8623
PTO_LA5,PTO,5,1,0,0.8050364269876465,0.7525538899475183,0.8538984078211428,25256,85,19,0.8157912572009488,0.7654125387199953,0.8607453566821328,14755,0.7921611322808928,0.728040290959945,0.8479538138357746,9185,0.7743161094224924,0.6107203972498091,0.8914589783281733,1316,0.7378920802788126,0.6826823502193847,0.8001869322083698,24963
PTO_LA5,PTO,5,2,1,0.8525339304482932,0.8109973690902998,0.8884081262039186,21883,83,19,0.8703098918644314,0.839386058058291,0.8989831958128958,13779,0.8257828644094739,0.7652081370646829,0.8775835282965326,6291,0.8102592388306674,0.679957894432226,0.899695154932259,1813,0.812360594795539,0.7585285152470322,0.8626441145048511,21520
PTO_LA5,PTO,5,3,2,0.8213034337771549,0.773535075953738,0.8649961885309506,22832,87,19,0.8358228174092197,0.7888775236099598,0.874195743971806,15532,0.7949003984063745,0.7282407632954265,0.8589584779623464,6275,0.7629268292682927,0.6289159660609818,0.8691409307214634,1025,0.7503737578049424,0.6975413742518375,0.7969917039318299,22742
PTO_LA5,PTO,5,4,3,0.8655054069805089,0.8268817421732447,0.900330147346036,15443,85,19,0.8757185652983565,0.841175625073144,0.9088193944310685,12351,0.8207282913165266,0.7447918175129189,0.8857908555635665,2856,0.8728813559322034,0.6623332748332749,0.987957154060027,236,0.7914441942746864,0.7372665341951177,0.8393151606133161,15545
